date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-11,20000,14.99,5.09,33.96,359,345,14,8
2015-06-22,23000,5.09,14.99,294.5,365,351,14,8
2015-09-07,29000,14.99,3.75,25.02,382,368,14,8
2015-09-09,29000,3.75,14.99,399.73,395,381,14,8
2015-11-25,29000,14.99,2.99,19.95,458,442,16,8
2015-12-01,31000,2.99,14.99,501.34,466,449,17,8
2015-12-22,34000,14.99,2.99,19.95,491,473,18,8
2016-01-04,35000,2.99,14.99,501.34,515,495,20,9
2016-02-05,39000,14.99,2.99,19.95,551,528,23,9
2016-02-13,38000,2.99,14.99,501.34,563,539,24,9
2016-06-23,37000,14.99,2.99,19.95,614,587,27,9
2016-07-04,41000,2.99,14.99,501.34,632,604,28,9
2016-11-23,44000,14.99,2.99,19.95,688,657,31,9
2016-11-30,42000,2.99,14.99,501.34,701,670,31,9
2016-12-22,43000,14.99,2.99,19.95,715,684,31,9
2017-01-02,53000,2.99,14.99,501.34,732,701,31,9
2017-06-22,50000,14.99,2.99,19.95,810,773,37,9
2017-07-05,50000,2.99,14.99,501.34,827,789,38,9
2017-11-23,52000,14.99,3.74,24.95,879,838,41,9
2017-11-28,51000,3.74,14.99,400.8,888,847,41,9
2017-12-21,53000,14.99,3.74,24.95,895,853,42,9
2018-01-05,52000,3.74,14.99,400.8,904,861,43,9
2018-02-16,54000,14.99,3.74,24.95,921,877,44,9
2018-02-20,53000,3.74,14.99,400.8,922,877,45,9
2018-06-20,52000,14.99,3.74,24.95,941,893,48,8
2018-07-05,52000,3.74,14.99,400.8,947,899,48,8
2018-11-21,50000,14.99,3.74,24.95,966,918,48,9
2018-11-27,51000,3.74,14.99,400.8,969,921,48,9
2018-12-20,50000,14.99,3.74,24.95,973,925,48,9
2019-01-03,50000,3.74,14.99,400.8,978,930,48,9
2019-02-04,50000,14.99,3.74,24.95,986,938,48,9
2019-02-11,50000,3.74,14.99,400.8,987,939,48,9
2019-06-25,52000,14.99,3.74,24.95,1002,953,49,9
2019-07-09,51000,3.74,14.99,400.8,1012,963,49,9
2019-11-26,52000,14.99,3.74,24.95,1027,976,51,9
2019-12-03,52000,3.74,14.99,400.8,1030,979,51,9
2019-12-19,70000,14.99,3.74,24.95,1033,982,51,9
2020-01-02,71000,3.74,14.99,400.8,1044,992,52,9
2020-01-23,65000,14.99,3.74,24.95,1050,997,53,8
2020-01-27,63000,3.74,14.99,400.8,1050,997,53,8
2020-04-02,69000,14.99,3.74,24.95,1073,1018,55,8
2020-04-06,70000,3.74,14.99,400.8,1076,1021,55,8
2020-06-25,70000,14.99,3.74,24.95,1099,1041,58,8
2020-07-09,71000,3.74,14.99,400.8,1101,1043,58,8
2020-07-23,73000,14.99,3.74,24.95,1107,1048,59,8
2020-07-25,74000,3.74,14.99,400.8,1107,1048,59,8
2020-11-25,75000,14.99,3.74,24.95,1135,1076,59,8
2020-12-01,75000,3.74,14.99,400.8,1138,1079,59,8
2020-12-22,76000,14.99,3.74,24.95,1145,1085,60,8
2021-01-05,76000,3.74,14.99,400.8,1149,1089,60,8
2021-02-12,76000,14.99,3.74,24.95,1156,1096,60,8
2021-02-15,76000,3.74,14.99,400.8,1158,1098,60,8
2021-04-08,74000,14.99,3.74,24.95,1170,1110,60,8
2021-04-12,74000,3.74,14.99,400.8,1171,1111,60,8
2021-06-24,75000,14.99,3.74,24.95,1194,1132,62,8
2021-07-08,76000,3.74,14.99,400.8,1201,1139,62,8
2021-11-24,79000,14.99,3.74,24.95,1224,1161,63,8
2021-12-01,79000,3.74,14.99,400.8,1226,1163,63,8
2021-12-22,79000,14.99,3.74,24.95,1229,1166,63,8
2022-01-05,79000,3.74,14.99,400.8,1231,1168,63,8
2022-01-26,79000,14.99,3.74,24.95,1237,1174,63,8
2022-02-03,79000,3.74,14.99,400.8,1240,1177,63,8
2022-04-07,80000,14.99,3.74,24.95,1251,1187,64,8
2022-04-14,79000,3.74,14.99,400.8,1260,1196,64,8
2022-06-09,81000,14.99,3.74,24.95,1278,1213,65,8
2022-06-13,83000,3.74,14.99,400.8,1279,1214,65,8
2022-06-23,84000,14.99,3.74,24.95,1284,1219,65,8
2022-07-07,84000,3.74,14.99,400.8,1291,1226,65,8
2022-09-13,85000,14.99,3.74,24.95,1304,1237,67,8
2022-09-27,84000,3.74,14.99,400.8,1307,1238,69,8
2022-10-25,85000,14.99,11.24,74.98,1318,1249,69,8
2022-11-01,85000,11.24,14.99,133.36,1321,1252,69,8
