date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2016-05-19,164000,23.99,29.99,125.01,1412,1326,86,8
2016-12-22,308000,29.99,17.99,59.99,3393,3170,223,8
2017-01-02,357000,17.99,29.99,166.7,3559,3320,239,8
2017-02-14,403000,29.99,14.99,49.98,3779,3518,261,8
2017-02-20,432000,14.99,29.99,200.07,3865,3591,274,8
2017-06-22,458000,29.99,14.99,49.98,4296,3970,326,8
2017-07-05,489000,14.99,29.99,200.07,4478,4132,346,8
2017-12-21,536000,29.99,14.99,49.98,5195,4792,403,8
2018-01-04,566000,14.99,29.99,200.07,5292,4882,410,8
2018-03-01,586000,29.99,14.99,49.98,5521,5079,442,8
2018-03-05,596000,14.99,29.99,200.07,5567,5120,447,8
2018-06-21,536000,29.99,14.99,49.98,5848,5358,490,8
2018-07-05,554000,14.99,29.99,200.07,5917,5410,507,8
2018-11-21,579000,29.99,14.99,49.98,6160,5623,537,8
2018-11-27,587000,14.99,29.99,200.07,6318,5778,540,8
2018-12-20,590000,29.99,14.99,49.98,6375,5826,549,8
2019-01-03,596000,14.99,29.99,200.07,6438,5879,559,8
2019-06-25,640000,29.99,23.99,79.99,6860,6185,675,8
2019-07-09,656000,23.99,29.99,125.01,7202,6518,684,8
2019-09-11,666000,29.99,17.99,59.99,7310,6609,701,8
2019-09-15,665000,17.99,29.99,166.7,7320,6618,702,8
2019-12-19,693000,29.99,14.99,49.98,7709,6979,730,8
2020-01-02,704000,14.99,29.99,200.07,7849,7111,738,8
2020-02-27,639000,29.99,14.99,49.98,8189,7429,760,8
2020-03-02,652000,14.99,29.99,200.07,8235,7467,768,8
2020-04-29,697000,29.99,14.99,49.98,8836,8021,815,8
2020-05-06,716000,14.99,29.99,200.07,8972,8147,825,8
2020-06-25,712000,29.99,14.99,49.98,9408,8550,858,8
2020-07-09,737000,14.99,29.99,200.07,9555,8687,868,8
2020-09-23,748000,29.99,14.99,49.98,10002,9095,907,8
2020-10-07,766000,14.99,29.99,200.07,10114,9200,914,8
2020-12-22,766000,29.99,14.99,49.98,10576,9636,940,8
2021-01-05,788000,14.99,29.99,200.07,10707,9757,950,8
2021-03-18,589000,29.99,14.99,49.98,11160,10179,981,8
2021-03-29,1043000,14.99,29.99,200.07,11291,10295,996,8
2021-06-24,809000,29.99,14.99,49.98,11854,10807,1047,8
2021-07-08,820000,14.99,29.99,200.07,11972,10913,1059,8
2021-09-29,806000,29.99,14.99,49.98,12495,11395,1100,8
2021-10-13,825000,14.99,29.99,200.07,12600,11484,1116,8
2021-12-16,800000,29.99,14.99,49.98,12942,11805,1137,8
2022-01-05,828000,14.99,29.99,200.07,13107,11947,1160,8
2022-03-17,802000,29.99,14.99,49.98,13496,12293,1203,8
2022-03-28,828000,14.99,29.99,200.07,13573,12363,1210,8
2022-04-28,757000,29.99,14.99,49.98,13753,12526,1227,8
2022-05-11,822000,14.99,29.99,200.07,13837,12592,1245,8
2022-06-23,832000,29.99,14.99,49.98,14145,12862,1283,8
2022-07-07,853000,14.99,29.99,200.07,14284,12987,1297,8
2022-09-14,818000,29.99,14.99,49.98,14667,13314,1353,8
2022-09-29,829000,14.99,29.99,200.07,14768,13398,1370,8
