date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2018-11-16,1000,0.0,34.99,,0,0,0,0
2019-02-04,97000,34.99,29.74,85.0,2214,1815,399,8
2019-02-11,98000,29.74,34.99,117.65,2283,1862,421,8
2019-06-25,422000,34.99,20.99,59.99,7987,7113,874,8
2019-07-09,449000,20.99,34.99,166.7,9005,8072,933,8
2019-10-28,494000,34.99,20.99,59.99,10967,9897,1070,8
2019-11-01,324000,20.99,34.99,166.7,11029,9955,1074,8
2019-11-10,495000,34.99,20.99,59.99,11184,10096,1088,8
2019-11-12,495000,20.99,34.99,166.7,11215,10126,1089,8
2019-11-26,496000,34.99,20.99,59.99,11351,10252,1099,8
2019-12-03,486000,20.99,34.99,166.7,12176,11059,1117,8
2019-12-19,491000,34.99,17.49,49.99,12378,11245,1133,8
2020-01-02,507000,17.49,34.99,200.06,12746,11582,1164,8
2020-01-23,471000,34.99,17.49,49.99,13014,11824,1190,8
2020-01-27,343000,17.49,34.99,200.06,13070,11878,1192,8
2020-02-24,466000,34.99,17.49,49.99,13348,12134,1214,8
2020-03-02,467000,17.49,34.99,200.06,13484,12257,1227,8
2020-04-08,472000,34.99,17.49,49.99,13875,12618,1257,8
2020-04-10,477000,17.49,34.99,200.06,13923,12662,1261,8
2020-06-25,500000,34.99,13.99,39.98,14682,13346,1336,8
2020-07-09,516000,13.99,34.99,250.11,14908,13554,1354,8
2020-10-29,554000,34.99,13.99,39.98,15517,14101,1416,8
2020-11-01,557000,13.99,34.99,250.11,15534,14117,1417,8
2020-11-25,564000,34.99,13.99,39.98,15711,14279,1432,8
2020-12-01,437000,13.99,34.99,250.11,15765,14325,1440,8
2020-12-22,576000,34.99,13.99,39.98,15903,14452,1451,8
2021-01-05,268000,13.99,34.99,250.11,16032,14574,1458,8
2021-02-11,601000,34.99,13.99,39.98,16230,14751,1479,8
2021-02-15,603000,13.99,34.99,250.11,16254,14773,1481,8
2021-06-24,646000,34.99,13.99,39.98,16638,15108,1530,8
2021-07-08,467000,13.99,34.99,250.11,16737,15200,1537,8
2021-10-28,700000,34.99,13.99,39.98,17032,15460,1572,8
2021-11-01,703000,13.99,34.99,250.11,17051,15477,1574,8
2021-11-24,711000,34.99,13.99,39.98,17129,15552,1577,8
2021-12-01,714000,13.99,34.99,250.11,17165,15584,1581,8
2021-12-22,717000,34.99,13.99,39.98,17235,15644,1591,8
2022-01-05,721000,13.99,34.99,250.11,17317,15718,1599,8
2022-01-27,724000,34.99,13.99,39.98,17381,15772,1609,8
2022-02-03,725000,13.99,34.99,250.11,17409,15794,1615,8
2022-05-02,733000,34.99,13.99,39.98,17555,15926,1629,8
2022-05-09,734000,13.99,34.99,250.11,17574,15944,1630,8
2022-06-23,528000,34.99,13.99,39.98,17683,16036,1647,8
2022-07-07,742000,13.99,34.99,250.11,17731,16079,1652,8
2022-07-25,744000,34.99,13.99,39.98,17770,16115,1655,8
2022-08-01,746000,13.99,34.99,250.11,17787,16131,1656,8
2022-09-04,752000,34.99,13.99,39.98,17871,16207,1664,8
2022-09-13,753000,13.99,34.99,250.11,17909,16237,1672,8
2022-10-17,759000,34.99,13.99,39.98,17984,16306,1678,8
2022-10-23,760000,13.99,34.99,250.11,18011,16332,1679,8
