date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-11-02,22000,9.99,12.99,130.03,721,532,189,6
2015-11-25,24000,12.99,9.09,69.98,922,685,237,6
2015-12-01,23000,9.09,12.99,142.9,939,695,244,6
2015-12-22,27000,12.99,8.7,66.97,975,720,255,6
2016-01-04,29000,8.7,12.99,149.31,1016,749,267,6
2016-01-12,33000,12.99,8.7,66.97,1039,766,273,6
2016-01-15,33000,8.7,12.99,149.31,1102,813,289,6
2016-02-05,38000,12.99,8.7,66.97,1191,870,321,6
2016-02-12,37000,8.7,12.99,149.31,1216,885,331,6
2016-04-21,39000,12.99,7.79,59.97,1294,933,361,6
2016-04-23,40000,7.79,12.99,166.75,1313,947,366,6
2016-06-23,42000,12.99,6.49,49.96,1409,1010,399,6
2016-07-04,47000,6.49,12.99,200.15,1443,1029,414,6
2016-10-28,56000,12.99,6.49,49.96,1573,1119,454,6
2016-11-01,55000,6.49,12.99,200.15,1593,1134,459,6
2016-11-23,56000,12.99,6.49,49.96,1627,1156,471,6
2016-11-29,56000,6.49,12.99,200.15,1643,1169,474,6
2016-12-22,59000,12.99,6.49,49.96,1662,1185,477,6
2017-01-01,58000,6.49,12.99,200.15,1683,1198,485,6
2017-06-22,60000,12.99,5.19,39.95,1810,1284,526,6
2017-07-05,62000,5.19,12.99,250.29,1834,1298,536,6
2017-09-19,64000,12.99,5.19,39.95,1882,1331,551,6
2017-09-26,68000,5.19,12.99,250.29,1895,1340,555,6
2017-10-27,61000,12.99,4.41,33.95,1915,1352,563,6
2017-11-01,62000,4.41,12.99,294.56,1927,1358,569,6
2017-11-22,92000,12.99,4.41,33.95,1951,1373,578,6
2017-11-28,95000,4.41,12.99,294.56,1977,1390,587,6
2017-12-21,95000,12.99,4.41,33.95,2000,1405,595,6
2018-01-04,97000,4.41,12.99,294.56,2022,1422,600,6
2018-02-15,93000,12.99,4.41,33.95,2054,1444,610,6
2018-02-19,91000,4.41,12.99,294.56,2056,1444,612,6
2018-06-21,101000,12.99,3.89,29.95,2140,1503,637,6
2018-07-05,103000,3.89,12.99,333.93,2157,1513,644,6
2018-10-29,109000,12.99,3.89,29.95,2209,1548,661,6
2018-11-01,110000,3.89,12.99,333.93,2213,1551,662,6
2018-11-13,111000,12.99,3.89,29.95,2224,1560,664,6
2018-11-19,113000,3.89,12.99,333.93,2238,1571,667,6
2018-11-21,113000,12.99,3.89,29.95,2240,1572,668,6
2018-11-27,115000,3.89,12.99,333.93,2258,1588,670,6
2018-12-20,115000,12.99,3.89,29.95,2263,1592,671,6
2019-01-03,117000,3.89,12.99,333.93,2276,1604,672,6
2019-02-04,118000,12.99,3.89,29.95,2290,1615,675,6
2019-02-11,120000,3.89,12.99,333.93,2294,1617,677,6
2019-06-25,119000,12.99,6.49,49.96,2346,1655,691,6
2019-07-09,77000,6.49,12.99,200.15,2359,1668,691,6
2019-10-27,120000,12.99,9.09,69.98,2384,1684,700,6
2019-11-01,121000,9.09,12.99,142.9,2389,1686,703,6
2019-11-10,121000,12.99,6.49,49.96,2396,1690,706,6
2019-11-12,121000,6.49,12.99,200.15,2398,1692,706,6
2019-11-26,120000,12.99,7.79,59.97,2401,1693,708,6
2019-12-03,120000,7.79,12.99,166.75,2402,1694,708,6
2019-12-19,120000,12.99,7.79,59.97,2407,1698,709,6
2020-01-02,120000,7.79,12.99,166.75,2411,1702,709,6
2020-01-23,53000,12.99,7.79,59.97,2415,1703,712,6
2020-01-26,109000,7.79,12.99,166.75,2416,1704,712,6
2020-02-24,105000,12.99,6.49,49.96,2425,1709,716,6
2020-03-02,104000,6.49,12.99,200.15,2428,1711,717,6
2020-04-13,104000,12.99,5.19,39.95,2442,1720,722,6
2020-04-20,106000,5.19,12.99,250.29,2452,1727,725,6
2020-06-25,81000,12.99,5.19,39.95,2476,1745,731,6
2020-07-09,107000,5.19,12.99,250.29,2488,1755,733,6
2020-10-29,107000,12.99,5.19,39.95,2539,1789,750,6
2020-11-02,108000,5.19,12.99,250.29,2546,1794,752,6
2020-11-25,108000,12.99,5.19,39.95,2557,1802,755,6
2020-12-01,89000,5.19,12.99,250.29,2560,1805,755,6
2020-12-22,108000,12.99,5.19,39.95,2568,1810,758,6
2021-01-05,110000,5.19,12.99,250.29,2585,1820,765,6
2021-02-11,92000,12.99,5.19,39.95,2603,1829,774,6
2021-02-15,92000,5.19,12.99,250.29,2605,1831,774,6
2021-05-27,94000,12.99,5.19,39.95,2641,1852,789,6
2021-05-31,107000,5.19,12.99,250.29,2644,1855,789,6
2021-06-24,106000,12.99,5.19,39.95,2652,1862,790,6
2021-07-08,107000,5.19,12.99,250.29,2660,1867,793,6
2021-10-28,106000,12.99,5.19,39.95,2686,1884,802,6
2021-11-01,106000,5.19,12.99,250.29,2691,1886,805,6
2021-11-24,105000,12.99,5.19,39.95,2695,1889,806,6
2021-12-01,105000,5.19,12.99,250.29,2700,1893,807,6
2021-12-22,105000,12.99,5.19,39.95,2702,1894,808,6
2022-01-05,105000,5.19,12.99,250.29,2710,1899,811,6
2022-01-26,105000,12.99,5.19,39.95,2718,1905,813,6
2022-02-02,105000,5.19,12.99,250.29,2719,1906,813,6
2022-05-02,107000,12.99,5.19,39.95,2741,1923,818,6
2022-05-09,108000,5.19,12.99,250.29,2749,1930,819,6
2022-06-23,269000,12.99,5.19,39.95,2763,1938,825,6
2022-07-07,110000,5.19,12.99,250.29,2768,1941,827,6
2022-07-25,110000,12.99,5.19,39.95,2777,1947,830,6
2022-08-01,111000,5.19,12.99,250.29,2780,1948,832,6
2022-09-05,112000,12.99,5.19,39.95,2790,1956,834,6
2022-09-12,112000,5.19,12.99,250.29,2797,1959,838,6
2022-10-25,114000,12.99,5.19,39.95,2809,1967,842,6
2022-11-01,115000,5.19,12.99,250.29,2813,1970,843,6
