date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2016-01-28,11000,0.0,2.39,,0,0,0,0
2016-02-04,18000,2.39,2.99,125.1,325,293,32,8
2016-02-05,18000,2.99,2.54,84.95,355,319,36,8
2016-02-12,22000,2.54,2.99,117.72,458,412,46,8
2016-04-04,31000,2.99,2.24,74.92,723,643,80,8
2016-04-11,32000,2.24,2.99,133.48,800,710,90,8
2016-06-06,42000,2.99,1.94,64.88,951,842,109,8
2016-06-13,42000,1.94,2.99,154.12,994,881,113,8
2016-06-23,46000,2.99,1.79,59.87,1033,917,116,8
2016-07-04,47000,1.79,2.99,167.04,1110,984,126,8
2016-08-08,50000,2.99,1.73,57.86,1238,1093,145,8
2016-08-15,57000,1.73,2.99,172.83,1273,1126,147,8
2016-10-10,98000,2.99,1.64,54.85,1478,1296,182,8
2016-10-17,102000,1.64,2.99,182.32,1523,1335,188,8
2016-11-23,108000,2.99,1.49,49.83,1617,1417,200,8
2016-11-29,109000,1.49,2.99,200.67,1779,1575,204,8
2016-12-12,110000,2.99,1.61,53.85,1837,1623,214,8
2016-12-19,114000,1.61,2.99,185.71,1876,1658,218,8
2016-12-22,114000,2.99,1.49,49.83,1887,1665,222,8
2017-01-02,118000,1.49,2.99,200.67,1943,1718,225,8
2017-02-13,122000,2.99,1.49,49.83,2036,1798,238,8
2017-02-20,124000,1.49,2.99,200.67,2078,1837,241,8
2017-04-17,126000,2.99,0.89,29.77,2189,1930,259,8
2017-04-24,133000,0.89,2.99,335.96,2241,1978,263,8
2017-06-22,139000,2.99,0.59,19.73,2356,2074,282,8
2017-07-05,148000,0.59,2.99,506.78,2454,2166,288,8
2017-07-10,150000,2.99,0.89,29.77,2479,2190,289,8
2017-07-17,146000,0.89,2.99,335.96,2541,2245,296,8
2017-09-12,154000,2.99,0.59,19.73,2676,2362,314,8
2017-09-18,155000,0.59,2.99,506.78,2743,2424,319,8
2017-10-26,172000,2.99,0.59,19.73,2850,2516,334,8
2017-11-01,173000,0.59,2.99,506.78,2867,2533,334,8
2017-11-13,175000,2.99,0.89,29.77,2900,2561,339,8
2017-11-20,172000,0.89,2.99,335.96,2934,2592,342,8
2017-11-22,171000,2.99,0.59,19.73,2937,2595,342,8
2017-11-28,175000,0.59,2.99,506.78,3081,2728,353,8
2017-12-21,180000,2.99,0.59,19.73,3140,2778,362,8
2018-01-04,188000,0.59,2.99,506.78,3201,2827,374,8
2018-01-16,182000,2.99,0.89,29.77,3232,2854,378,8
2018-01-22,181000,0.89,2.99,335.96,3267,2886,381,8
2018-02-15,190000,2.99,0.59,19.73,3301,2915,386,8
2018-02-19,195000,0.59,2.99,506.78,3310,2923,387,8
2018-03-19,190000,2.99,0.59,19.73,3377,2987,390,8
2018-03-26,192000,0.59,2.99,506.78,3406,3015,391,8
2018-05-21,184000,2.99,0.89,29.77,3483,3081,402,8
2018-05-28,187000,0.89,2.99,335.96,3510,3104,406,8
2018-06-21,184000,2.99,0.59,19.73,3549,3136,413,8
2018-07-05,191000,0.59,2.99,506.78,3586,3167,419,8
2018-07-23,192000,2.99,1.49,49.83,3608,3186,422,8
2018-07-30,193000,1.49,2.99,200.67,3620,3197,423,8
2018-09-24,197000,2.99,0.89,29.77,3670,3241,429,8
2018-10-01,199000,0.89,2.99,335.96,3680,3248,432,8
2018-10-29,202000,2.99,0.74,24.75,3701,3269,432,8
2018-11-01,203000,0.74,2.99,404.05,3706,3273,433,8
2018-11-21,203000,2.99,0.59,19.73,3718,3284,434,8
2018-11-27,206000,0.59,2.99,506.78,3746,3312,434,8
2018-12-03,205000,2.99,0.89,29.77,3753,3319,434,8
2018-12-10,207000,0.89,2.99,335.96,3761,3327,434,8
2018-12-20,208000,2.99,0.49,16.39,3768,3334,434,8
2019-01-03,211000,0.49,2.99,610.2,3801,3361,440,8
2019-02-04,213000,2.99,0.74,24.75,3841,3396,445,8
2019-02-11,214000,0.74,2.99,404.05,3848,3402,446,8
2019-02-18,214000,2.99,0.59,19.73,3850,3404,446,8
2019-02-25,215000,0.59,2.99,506.78,3860,3413,447,8
2019-04-22,218000,2.99,0.74,24.75,3896,3446,450,8
2019-04-29,221000,0.74,2.99,404.05,3910,3459,451,8
2019-06-25,293000,2.99,0.59,19.73,3949,3495,454,8
2019-07-09,300000,0.59,2.99,506.78,4087,3630,457,8
2019-07-29,302000,2.99,0.89,29.77,4100,3641,459,8
2019-08-05,304000,0.89,2.99,335.96,4109,3649,460,8
2019-09-16,305000,2.99,0.5,16.72,4140,3673,467,8
2019-09-23,306000,0.5,2.99,598.0,4149,3679,470,8
2019-11-26,432000,2.99,0.74,24.75,4203,3726,477,8
2019-12-03,435000,0.74,2.99,404.05,4216,3739,477,8
2019-12-19,308000,2.99,0.59,19.73,4234,3757,477,8
2020-01-02,317000,0.59,2.99,506.78,4266,3782,484,8
2020-01-13,312000,2.99,0.89,29.77,4284,3799,485,8
2020-01-20,298000,0.89,2.99,335.96,4293,3806,487,8
2020-01-23,286000,2.99,0.59,19.73,4297,3809,488,8
2020-01-26,286000,0.59,2.99,506.78,4299,3811,488,8
2020-03-09,279000,2.99,1.49,49.83,4346,3847,499,8
2020-03-16,279000,1.49,2.99,200.67,4356,3857,499,8
2020-04-28,281000,2.99,1.94,64.88,4393,3888,505,8
2020-05-04,281000,1.94,2.99,154.12,4399,3894,505,8
2020-06-25,281000,2.99,1.49,49.83,4432,3924,508,8
2020-07-09,282000,1.49,2.99,200.67,4451,3943,508,8
2020-07-20,283000,2.99,1.49,49.83,4462,3952,510,8
2020-07-27,283000,1.49,2.99,200.67,4465,3953,512,8
