date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-09-17,7000,0.0,0.59,,0,0,0,0
2015-09-24,9000,0.59,0.99,167.8,167,120,47,6
2015-10-29,13000,0.99,0.59,59.6,288,213,75,6
2015-11-02,13000,0.59,0.99,167.8,298,217,81,6
2015-11-03,13000,0.99,1.99,201.01,304,222,82,6
2015-11-05,13000,1.99,0.99,49.75,308,223,85,6
2015-11-25,17000,0.99,0.59,59.6,353,248,105,6
2015-12-01,20000,0.59,0.99,167.8,369,261,108,6
2015-12-04,20000,0.99,0.59,59.6,379,268,111,6
2015-12-18,26000,0.59,0.99,167.8,438,303,135,5
2015-12-22,26000,0.99,0.74,74.75,445,308,137,5
2016-01-04,29000,0.74,0.99,133.78,474,326,148,5
2016-02-06,35000,0.99,0.49,49.49,535,369,166,5
2016-02-12,36000,0.49,0.99,202.04,558,380,178,5
2016-02-15,38000,0.99,0.49,49.49,567,386,181,5
2016-02-29,46000,0.49,0.99,202.04,662,441,221,5
2016-04-14,49000,0.99,4.99,504.04,760,506,254,5
2016-04-18,49000,4.99,0.99,19.84,764,508,256,5
2016-05-15,50000,0.99,0.49,49.49,797,528,269,5
2016-05-29,53000,0.49,0.99,202.04,850,561,289,5
2016-06-23,51000,0.99,0.49,49.49,886,583,303,5
2016-07-07,56000,0.49,0.99,202.04,918,601,317,5
2016-07-30,61000,0.99,0.49,49.49,942,611,331,5
2016-08-13,60000,0.49,0.99,202.04,973,622,351,5
2016-08-15,61000,0.99,2.99,302.02,978,624,354,5
2016-08-25,59000,2.99,0.99,33.11,995,631,364,5
2016-10-08,70000,0.99,0.49,49.49,1067,682,385,5
2016-10-23,68000,0.49,0.99,202.04,1108,708,400,5
2016-10-28,68000,0.99,0.49,49.49,1115,712,403,5
2016-11-01,69000,0.49,0.99,202.04,1118,714,404,5
2016-11-23,68000,0.99,0.49,49.49,1138,722,416,5
2016-11-29,66000,0.49,0.99,202.04,1147,729,418,5
2016-12-22,74000,0.99,0.49,49.49,1181,752,429,5
2017-01-02,78000,0.49,0.99,202.04,1198,762,436,5
2017-01-04,80000,0.99,0.49,49.49,1202,763,439,5
2017-01-17,81000,0.49,0.99,202.04,1246,790,456,5
2017-03-14,83000,0.99,0.49,49.49,1355,850,505,5
2017-03-28,84000,0.49,0.99,202.04,1398,877,521,5
2017-03-30,85000,0.99,0.49,49.49,1403,880,523,5
2017-04-03,87000,0.49,0.99,202.04,1419,887,532,5
2017-04-05,87000,0.99,0.49,49.49,1425,891,534,5
2017-04-10,85000,0.49,0.99,202.04,1439,899,540,5
2017-06-05,100000,0.99,0.49,49.49,1575,993,582,5
2017-06-19,99000,0.49,0.99,202.04,1625,1021,604,5
2017-06-22,100000,0.99,0.49,49.49,1635,1028,607,5
2017-07-05,98000,0.49,0.99,202.04,1680,1059,621,5
2017-08-30,108000,0.99,0.49,49.49,1771,1120,651,5
2017-09-14,109000,0.49,0.99,202.04,1809,1149,660,5
2017-10-26,109000,0.99,0.49,49.49,1875,1188,687,5
2017-11-01,117000,0.49,0.99,202.04,1884,1194,690,5
2017-11-08,114000,0.99,0.49,49.49,1892,1198,694,5
2017-11-28,116000,0.49,0.99,202.04,1963,1241,722,5
2017-12-21,123000,0.99,0.49,49.49,2017,1279,738,5
2018-01-04,124000,0.49,0.99,202.04,2061,1315,746,5
2018-01-18,127000,0.99,0.49,49.49,2088,1334,754,5
2018-01-31,138000,0.49,0.99,202.04,2132,1363,769,5
2018-02-14,135000,0.99,0.49,49.49,2158,1384,774,5
2018-02-19,130000,0.49,0.99,202.04,2173,1393,780,5
2018-03-29,138000,0.99,0.49,49.49,2229,1424,805,5
2018-04-11,139000,0.49,0.99,202.04,2253,1439,814,5
2018-06-06,124000,0.99,0.49,49.49,2314,1479,835,5
2018-07-05,127000,0.49,0.99,202.04,2396,1535,861,5
2018-08-15,128000,0.99,0.49,49.49,2438,1561,877,5
2018-08-29,130000,0.49,0.99,202.04,2465,1578,887,5
2018-10-29,131000,0.99,0.49,49.49,2512,1602,910,5
2018-11-01,132000,0.49,0.99,202.04,2513,1603,910,5
2018-11-06,131000,0.99,0.49,49.49,2516,1604,912,5
2018-11-27,134000,0.49,0.99,202.04,2564,1634,930,5
2018-12-20,135000,0.99,0.49,49.49,2586,1647,939,5
2019-01-03,137000,0.49,0.99,202.04,2612,1669,943,5
2019-02-04,135000,0.99,0.49,49.49,2638,1681,957,5
2019-02-11,136000,0.49,0.99,202.04,2642,1683,959,5
2019-02-25,136000,0.99,0.49,49.49,2651,1690,961,5
2019-03-11,137000,0.49,0.99,202.04,2668,1702,966,5
2019-05-06,140000,0.99,0.49,49.49,2708,1729,979,5
2019-05-28,140000,0.49,0.99,202.04,2729,1744,985,5
2019-06-25,141000,0.99,0.49,49.49,2744,1755,989,5
2019-07-22,148000,0.49,0.99,202.04,2876,1853,1023,5
2019-08-01,148000,0.99,0.49,49.49,2882,1857,1025,5
2019-08-05,148000,0.49,0.99,202.04,2884,1858,1026,5
2019-09-03,149000,0.99,0.49,49.49,2897,1866,1031,5
2019-09-17,150000,0.49,0.99,202.04,2911,1879,1032,5
2019-10-27,152000,0.99,0.49,49.49,2921,1885,1036,5
2019-11-01,153000,0.49,0.99,202.04,2924,1887,1037,5
2019-11-26,154000,0.99,0.49,49.49,2934,1897,1037,5
2019-12-03,155000,0.49,0.99,202.04,2940,1903,1037,5
2019-12-07,155000,0.99,0.49,49.49,2941,1904,1037,5
2020-01-03,156000,0.49,0.99,202.04,2958,1914,1044,5
2020-01-23,119000,0.99,0.49,49.49,2969,1921,1048,5
2020-01-26,143000,0.49,0.99,202.04,2970,1922,1048,5
2020-01-30,139000,0.99,0.49,49.49,2971,1923,1048,5
2020-02-13,138000,0.49,0.99,202.04,2982,1928,1054,5
2020-03-26,136000,0.99,0.49,49.49,3005,1945,1060,5
2020-04-09,137000,0.49,0.99,202.04,3017,1954,1063,5
2020-05-25,139000,0.99,0.49,49.49,3054,1977,1077,5
2020-06-01,140000,0.49,0.99,202.04,3064,1985,1079,5
2020-06-25,141000,0.99,0.49,49.49,3080,1999,1081,5
2020-07-09,142000,0.49,0.99,202.04,3095,2011,1084,5
2020-07-13,143000,0.99,0.49,49.49,3103,2017,1086,5
2020-07-19,143000,0.49,0.99,202.04,3111,2022,1089,5
2020-08-31,145000,0.99,0.49,49.49,3135,2041,1094,5
2020-09-07,146000,0.49,0.99,202.04,3142,2047,1095,5
2020-10-19,149000,0.99,0.49,49.49,3161,2059,1102,5
2020-10-26,62000,0.49,0.99,202.04,3171,2067,1104,5
2020-10-29,151000,0.99,0.49,49.49,3173,2069,1104,5
2020-11-02,151000,0.49,0.99,202.04,3176,2071,1105,5
