date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2017-02-03,6000,8.99,9.99,111.12,128,122,6,8
2017-03-30,9000,9.99,8.99,89.99,253,241,12,8
2017-04-03,9000,8.99,9.99,111.12,254,242,12,8
2017-06-22,10000,9.99,7.99,79.98,324,309,15,8
2017-07-05,13000,7.99,9.99,125.03,349,334,15,8
2017-09-04,13000,9.99,7.99,79.98,390,373,17,8
2017-09-12,14000,7.99,9.99,125.03,407,390,17,8
2017-11-06,14000,9.99,7.49,74.97,441,423,18,8
2017-11-13,14000,7.49,9.99,133.38,455,436,19,8
2017-11-22,16000,9.99,6.99,69.97,461,442,19,8
2017-11-28,15000,6.99,9.99,142.92,480,460,20,8
2017-12-21,16000,9.99,6.99,69.97,489,467,22,8
2018-01-04,17000,6.99,9.99,142.92,506,484,22,9
2018-02-15,18000,9.99,6.99,69.97,526,503,23,9
2018-02-19,20000,6.99,9.99,142.92,529,506,23,9
2018-04-25,17000,9.99,5.99,59.96,558,533,25,9
2018-04-30,17000,5.99,9.99,166.78,572,547,25,9
2018-06-21,18000,9.99,5.99,59.96,608,583,25,9
2018-07-05,19000,5.99,9.99,166.78,627,601,26,9
2018-07-30,19000,9.99,5.99,59.96,645,618,27,9
2018-08-06,19000,5.99,9.99,166.78,659,632,27,9
2018-10-01,23000,9.99,5.99,59.96,763,734,29,9
2018-10-08,24000,5.99,9.99,166.78,789,757,32,9
2018-10-29,24000,9.99,5.49,54.95,813,778,35,9
2018-11-01,24000,5.49,9.99,181.97,817,782,35,9
2018-11-21,24000,9.99,5.49,54.95,832,796,36,9
2018-11-27,25000,5.49,9.99,181.97,855,818,37,9
2018-12-20,25000,9.99,5.49,54.95,877,838,39,9
2019-01-03,26000,5.49,9.99,181.97,892,853,39,9
2019-02-04,25000,9.99,5.49,54.95,920,880,40,9
2019-02-11,26000,5.49,9.99,181.97,936,896,40,9
2019-04-29,29000,9.99,5.49,54.95,988,946,42,9
2019-05-06,31000,5.49,9.99,181.97,1001,958,43,9
2019-06-25,28000,9.99,4.99,49.95,1029,981,48,9
2019-07-09,34000,4.99,9.99,200.2,1075,1024,51,9
2019-08-12,32000,9.99,4.99,49.95,1101,1048,53,9
2019-08-19,34000,4.99,9.99,200.2,1108,1054,54,9
2019-09-29,35000,9.99,5.49,54.95,1134,1075,59,8
2019-10-07,40000,5.49,9.99,181.97,1147,1087,60,8
2019-10-28,36000,9.99,5.49,54.95,1158,1098,60,8
2019-11-01,36000,5.49,9.99,181.97,1163,1102,61,8
2019-11-26,44000,9.99,5.49,54.95,1175,1112,63,8
2019-12-03,43000,5.49,9.99,181.97,1179,1116,63,8
2019-12-19,41000,9.99,5.49,54.95,1186,1122,64,8
2020-01-02,61000,5.49,9.99,181.97,1195,1131,64,8
2020-01-23,52000,9.99,5.49,54.95,1210,1145,65,8
2020-01-27,55000,5.49,9.99,181.97,1211,1146,65,8
2020-03-03,68000,9.99,4.99,49.95,1238,1168,70,8
2020-03-05,78000,4.99,9.99,200.2,1242,1172,70,8
2020-03-17,72000,9.99,4.99,49.95,1254,1183,71,8
2020-03-24,83000,4.99,9.99,200.2,1264,1190,74,8
2020-05-11,89000,9.99,4.99,49.95,1293,1214,79,8
2020-05-18,103000,4.99,9.99,200.2,1308,1228,80,8
2020-06-29,109000,9.99,4.49,44.94,1334,1250,84,8
2020-07-09,123000,4.49,9.99,222.49,1344,1259,85,8
2020-08-17,29000,9.99,4.49,44.94,1365,1279,86,8
2020-08-24,128000,4.49,9.99,222.49,1390,1303,87,8
2020-10-29,116000,9.99,4.49,44.94,1422,1332,90,8
2020-11-02,30000,4.49,9.99,222.49,1423,1333,90,8
2020-11-25,120000,9.99,4.49,44.94,1428,1338,90,8
2020-12-01,133000,4.49,9.99,222.49,1434,1344,90,8
2020-12-22,135000,9.99,4.49,44.94,1442,1351,91,8
2021-01-05,157000,4.49,9.99,222.49,1454,1361,93,8
2021-02-11,144000,9.99,3.99,39.94,1470,1377,93,8
2021-02-14,144000,3.99,9.99,250.38,1471,1378,93,8
2021-10-03,136000,9.99,4.49,44.94,1554,1451,103,8
2021-10-10,148000,4.49,9.99,222.49,1560,1456,104,8
2021-10-28,139000,9.99,3.49,34.93,1573,1468,105,8
2021-11-01,160000,3.49,9.99,286.25,1576,1471,105,8
2021-11-24,139000,9.99,3.99,39.94,1590,1483,107,8
2021-12-01,143000,3.99,9.99,250.38,1596,1489,107,8
2021-12-06,139000,9.99,3.99,39.94,1599,1492,107,8
2021-12-13,141000,3.99,9.99,250.38,1607,1500,107,8
2021-12-22,140000,9.99,3.99,39.94,1611,1503,108,8
2022-01-05,142000,3.99,9.99,250.38,1625,1515,110,8
2022-01-27,146000,9.99,3.49,34.93,1638,1527,111,8
2022-02-02,155000,3.49,9.99,286.25,1639,1528,111,8
2022-04-25,117000,9.99,3.49,34.93,1671,1558,113,8
2022-05-02,147000,3.49,9.99,286.25,1675,1560,115,8
2022-06-23,142000,9.99,3.49,34.93,1692,1575,117,8
2022-07-06,150000,3.49,9.99,286.25,1702,1585,117,8
2022-10-31,134000,9.99,3.49,34.93,1726,1603,123,8
