date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-04-11,10000,14.99,10.49,69.98,235,165,70,6
2015-04-13,10000,10.49,14.99,142.9,235,165,70,6
2015-06-11,11000,14.99,7.49,49.97,245,173,72,6
2015-06-22,11000,7.49,14.99,200.13,253,179,74,6
2015-08-14,12000,14.99,5.99,39.96,264,186,78,6
2015-08-16,12000,5.99,14.99,250.25,266,186,80,5
2015-10-29,30000,14.99,4.49,29.95,291,198,93,5
2015-11-02,31000,4.49,14.99,333.85,303,204,99,5
2015-11-25,35000,14.99,3.74,24.95,316,210,106,5
2015-12-01,35000,3.74,14.99,400.8,324,215,109,5
2015-12-22,35000,14.99,2.99,19.95,333,222,111,5
2016-01-04,38000,2.99,14.99,501.34,343,232,111,5
2016-01-27,41000,14.99,2.24,14.94,357,244,113,5
2016-01-29,41000,2.24,14.99,669.2,365,249,116,5
2016-02-05,46000,14.99,2.24,14.94,376,258,118,5
2016-02-12,42000,2.24,14.99,669.2,385,263,122,5
2016-04-29,50000,14.99,1.49,9.94,409,274,135,5
2016-05-02,49000,1.49,14.99,1006.04,412,277,135,5
2016-06-23,52000,14.99,1.49,9.94,441,297,144,5
2016-07-04,53000,1.49,14.99,1006.04,450,306,144,5
2016-10-28,58000,14.99,1.49,9.94,481,326,155,5
2016-11-01,60000,1.49,14.99,1006.04,484,326,158,5
2016-11-23,60000,14.99,1.49,9.94,498,333,165,5
2016-11-29,62000,1.49,14.99,1006.04,508,341,167,5
2016-12-22,63000,14.99,1.49,9.94,513,345,168,5
2017-01-02,67000,1.49,14.99,1006.04,523,352,171,5
2017-06-22,66000,14.99,2.99,19.95,571,387,184,5
2017-07-05,68000,2.99,14.99,501.34,578,393,185,5
2017-07-20,74000,14.99,2.99,19.95,579,393,186,5
2017-07-24,74000,2.99,14.99,501.34,587,398,189,5
2017-10-28,80000,14.99,2.99,19.95,626,422,204,5
2017-11-01,77000,2.99,14.99,501.34,626,422,204,5
2017-11-22,79000,14.99,2.99,19.95,634,428,206,5
2017-11-28,84000,2.99,14.99,501.34,642,435,207,5
2017-12-21,81000,14.99,2.24,14.94,648,439,209,5
2018-01-03,80000,2.24,14.99,669.2,651,440,211,5
2018-02-16,79000,14.99,2.99,19.95,658,444,214,5
2018-02-19,75000,2.99,14.99,501.34,659,444,215,5
2018-05-31,78000,14.99,1.49,9.94,671,452,219,5
2018-06-04,77000,1.49,14.99,1006.04,674,453,221,5
2018-06-20,85000,14.99,2.99,19.95,684,458,226,5
2018-07-05,85000,2.99,14.99,501.34,688,460,228,5
2018-08-02,86000,14.99,2.99,19.95,693,464,229,5
2018-08-06,84000,2.99,14.99,501.34,695,466,229,5
2018-10-29,88000,14.99,2.99,19.95,710,477,233,5
2018-11-01,86000,2.99,14.99,501.34,710,477,233,5
2018-11-21,86000,14.99,2.99,19.95,719,484,235,5
2018-11-27,86000,2.99,14.99,501.34,725,490,235,5
2018-12-20,82000,14.99,2.99,19.95,728,493,235,5
2019-01-03,82000,2.99,14.99,501.34,734,498,236,5
2019-02-04,84000,14.99,2.99,19.95,740,501,239,5
2019-02-11,84000,2.99,14.99,501.34,740,501,239,5
2019-06-25,86000,14.99,2.99,19.95,761,511,250,5
2019-07-09,86000,2.99,14.99,501.34,782,531,251,5
2019-10-17,88000,14.99,4.49,29.95,789,535,254,5
2019-10-21,89000,4.49,14.99,333.85,790,535,255,5
2019-10-27,89000,14.99,2.99,19.95,791,536,255,5
2019-11-01,89000,2.99,14.99,501.34,792,537,255,5
2019-11-26,90000,14.99,2.99,19.95,800,542,258,5
2019-12-03,90000,2.99,14.99,501.34,803,545,258,5
2019-12-19,95000,14.99,2.24,14.94,805,547,258,5
2020-01-02,96000,2.24,14.99,669.2,813,553,260,5
