date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-11,145000,9.99,4.99,49.95,488,262,226,5
2015-06-22,147000,4.99,9.99,200.2,493,264,229,5
2015-11-25,158000,9.99,2.49,24.92,533,281,252,5
2015-12-02,155000,2.49,9.99,401.2,544,288,256,5
2015-12-22,154000,9.99,2.49,24.92,552,294,258,5
2016-01-04,161000,2.49,9.99,401.2,570,304,266,5
2016-01-20,161000,9.99,2.49,24.92,578,307,271,5
2016-01-25,164000,2.49,9.99,401.2,596,313,283,5
2016-02-05,177000,9.99,2.49,24.92,605,317,288,5
2016-02-12,167000,2.49,9.99,401.2,619,325,294,5
2016-03-10,178000,9.99,2.49,24.92,637,333,304,5
2016-03-14,181000,2.49,9.99,401.2,652,340,312,5
2016-06-23,222000,9.99,4.99,49.95,702,368,334,5
2016-07-04,243000,4.99,9.99,200.2,735,378,357,5
2016-12-22,259000,9.99,4.99,49.95,823,407,416,5
2017-01-02,255000,4.99,9.99,200.2,834,413,421,5
2017-03-31,253000,9.99,2.49,24.92,868,426,442,5
2017-04-04,265000,2.49,9.99,401.2,872,427,445,5
2017-06-22,262000,9.99,2.49,24.92,915,445,470,5
2017-07-05,271000,2.49,9.99,401.2,935,454,481,5
2017-11-22,277000,9.99,4.99,49.95,1037,479,558,5
2017-11-28,271000,4.99,9.99,200.2,1044,485,559,5
2017-12-22,277000,9.99,4.99,49.95,1056,488,568,5
2018-01-05,278000,4.99,9.99,200.2,1062,490,572,5
2018-06-20,227000,9.99,3.39,33.93,1110,514,596,5
2018-07-05,248000,3.39,9.99,294.69,1119,516,603,5
2018-10-16,248000,9.99,3.39,33.93,1144,525,619,5
2018-10-19,249000,3.39,9.99,294.69,1144,525,619,5
2018-11-21,248000,9.99,2.49,24.92,1157,530,627,5
2018-11-27,249000,2.49,9.99,401.2,1164,536,628,5
2018-12-20,253000,9.99,2.49,24.92,1174,539,635,5
2019-01-03,253000,2.49,9.99,401.2,1205,547,658,5
2019-01-10,252000,9.99,2.49,24.92,1211,547,664,5
2019-01-12,256000,2.49,9.99,401.2,1214,547,667,5
2019-02-04,257000,9.99,2.49,24.92,1229,550,679,5
2019-02-11,257000,2.49,9.99,401.2,1231,550,681,5
2019-03-14,257000,9.99,2.49,24.92,1239,553,686,5
2019-04-11,257000,2.49,9.99,401.2,1257,559,698,5
2019-04-29,260000,9.99,2.49,24.92,1262,560,702,5
2019-05-06,261000,2.49,9.99,401.2,1266,562,704,5
2019-06-25,284000,9.99,2.49,24.92,1292,576,716,5
2019-07-09,288000,2.49,9.99,401.2,1315,585,730,5
2019-11-12,291000,9.99,2.49,24.92,1366,604,762,5
2019-11-15,293000,2.49,9.99,401.2,1367,604,763,5
2019-12-19,299000,9.99,2.49,24.92,1409,626,783,5
2020-01-02,305000,2.49,9.99,401.2,1432,634,798,5
2020-02-13,270000,9.99,2.49,24.92,1461,650,811,5
2020-02-21,274000,2.49,9.99,401.2,1469,651,818,5
2020-06-24,299000,9.99,2.49,24.92,1588,704,884,5
2020-07-09,307000,2.49,9.99,401.2,1630,717,913,5
2020-10-09,281000,9.99,2.49,24.92,1700,746,954,5
2020-10-19,282000,2.49,9.99,401.2,1715,753,962,5
2020-11-25,322000,9.99,2.49,24.92,1737,765,972,5
2020-12-01,323000,2.49,9.99,401.2,1743,768,975,5
2020-12-22,324000,9.99,2.49,24.92,1754,771,983,5
2021-01-05,286000,2.49,9.99,401.2,1779,778,1001,5
2021-02-12,333000,9.99,2.49,24.92,1822,799,1023,5
2021-02-15,333000,2.49,9.99,401.2,1824,801,1023,5
2021-04-29,332000,9.99,2.49,24.92,1892,837,1055,5
2021-05-06,333000,2.49,9.99,401.2,1900,839,1061,5
2021-07-28,342000,9.99,2.49,24.92,1989,881,1108,5
2021-08-04,347000,2.49,9.99,401.2,2014,892,1122,5
2021-09-23,353000,9.99,2.49,24.92,2085,918,1167,5
2021-09-30,356000,2.49,9.99,401.2,2098,922,1176,5
2021-11-24,370000,9.99,2.49,24.92,2177,942,1235,5
2021-12-01,372000,2.49,9.99,401.2,2187,948,1239,5
2021-12-22,373000,9.99,2.49,24.92,2214,958,1256,5
2022-01-05,378000,2.49,9.99,401.2,2233,970,1263,5
2022-01-26,385000,9.99,2.49,24.92,2265,974,1291,5
2022-02-03,386000,2.49,9.99,401.2,2277,979,1298,5
2022-10-07,418000,9.99,2.49,24.92,2541,1070,1471,5
2022-10-13,419000,2.49,9.99,401.2,2551,1075,1476,5
