date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2016-12-22,22000,29.99,25.49,84.99,464,435,29,8
2017-01-02,29000,25.49,29.99,117.65,556,519,37,8
2017-06-22,45000,29.99,20.09,66.99,1053,954,99,8
2017-07-05,55000,20.09,29.99,149.28,1144,1035,109,8
2017-09-16,81000,29.99,20.09,66.99,1521,1364,157,8
2017-09-18,81000,20.09,29.99,149.28,1543,1382,161,8
2017-10-26,87000,29.99,20.09,66.99,1664,1481,183,8
2017-11-01,88000,20.09,29.99,149.28,1689,1500,189,8
2017-11-22,93000,29.99,20.09,66.99,1726,1533,193,8
2017-11-28,97000,20.09,29.99,149.28,1794,1600,194,8
2017-12-21,104000,29.99,14.99,49.98,1851,1646,205,8
2018-01-04,107000,14.99,29.99,200.07,1932,1714,218,8
2018-02-27,113000,29.99,14.99,49.98,2049,1814,235,8
2018-03-01,110000,14.99,29.99,200.07,2070,1831,239,8
2018-06-21,99000,29.99,10.49,34.98,2252,1981,271,8
2018-07-05,105000,10.49,29.99,285.89,2313,2025,288,8
2018-10-29,105000,29.99,10.49,34.98,2480,2152,328,8
2018-11-01,107000,10.49,29.99,285.89,2486,2157,329,8
2018-11-21,107000,29.99,8.99,29.98,2518,2182,336,8
2018-11-27,111000,8.99,29.99,333.59,2565,2225,340,8
2018-12-20,113000,29.99,8.99,29.98,2620,2268,352,8
2019-01-03,115000,8.99,29.99,333.59,2649,2291,358,8
2019-06-25,121000,29.99,10.49,34.98,2845,2465,380,8
2019-07-09,115000,10.49,29.99,285.89,2993,2601,392,8
2019-11-10,136000,29.99,7.49,24.97,3204,2798,406,8
2019-11-12,136000,7.49,29.99,400.4,3219,2812,407,8
2019-11-26,140000,29.99,7.49,24.97,3334,2920,414,8
2019-12-03,144000,7.49,29.99,400.4,3398,2980,418,8
2019-12-19,148000,29.99,7.49,24.97,3494,3072,422,8
2020-01-02,160000,7.49,29.99,400.4,3608,3173,435,8
2020-06-25,206000,29.99,10.49,34.98,4323,3837,486,8
2020-07-09,222000,10.49,29.99,285.89,4415,3921,494,8
2020-10-22,408000,29.99,11.99,39.98,4745,4222,523,8
2020-10-26,413000,11.99,29.99,250.13,4764,4239,525,8
2020-10-30,414000,29.99,11.99,39.98,4784,4258,526,8
2020-11-02,419000,11.99,29.99,250.13,4800,4273,527,8
2020-11-25,426000,29.99,11.99,39.98,4881,4350,531,8
2020-12-01,431000,11.99,29.99,250.13,4923,4389,534,8
2020-12-22,438000,29.99,11.99,39.98,5001,4461,540,8
2021-01-05,448000,11.99,29.99,250.13,5081,4534,547,8
2021-02-11,460000,29.99,14.99,49.98,5228,4671,557,8
2021-02-14,460000,14.99,29.99,200.07,5239,4682,557,8
2021-06-24,481000,29.99,14.99,49.98,5606,5010,596,8
2021-07-08,504000,14.99,29.99,200.07,5657,5053,604,8
2021-08-30,513000,29.99,13.49,44.98,5782,5166,616,8
2021-09-06,525000,13.49,29.99,222.31,5805,5184,621,8
2021-10-21,520000,29.99,14.99,49.98,5921,5287,634,8
2021-10-25,538000,14.99,29.99,200.07,5928,5293,635,8
2021-10-28,527000,29.99,14.99,49.98,5938,5303,635,8
2021-11-01,538000,14.99,29.99,200.07,5949,5314,635,8
2021-11-24,530000,29.99,14.99,49.98,5995,5357,638,8
2021-12-01,534000,14.99,29.99,200.07,6014,5373,641,8
2021-12-22,546000,29.99,14.99,49.98,6056,5411,645,8
2022-01-05,559000,14.99,29.99,200.07,6097,5444,653,8
2022-01-27,561000,29.99,14.99,49.98,6146,5488,658,8
2022-02-02,560000,14.99,29.99,200.07,6163,5502,661,8
2022-06-23,582000,29.99,7.49,24.97,6397,5716,681,8
2022-07-06,634000,7.49,29.99,400.4,6439,5747,692,8
