date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-05-04,97000,9.99,2.49,24.92,1462,1397,65,9
2015-05-12,104000,2.49,9.99,401.2,1550,1478,72,9
2015-06-11,121000,9.99,2.49,24.92,1678,1596,82,9
2015-06-20,152000,2.49,1.49,59.84,1814,1727,87,9
2015-06-21,153000,1.49,2.49,167.11,1862,1773,89,9
2015-06-22,152000,2.49,9.99,401.2,1893,1801,92,9
2015-08-13,162000,9.99,2.49,24.92,2199,2091,108,9
2015-08-17,164000,2.49,9.99,401.2,2243,2131,112,9
2015-10-12,182000,9.99,2.49,24.92,2432,2301,131,8
2015-10-18,190000,2.49,9.99,401.2,2478,2336,142,8
2015-11-25,193000,9.99,2.49,24.92,2630,2474,156,8
2015-12-01,193000,2.49,9.99,401.2,2671,2512,159,8
2015-12-22,208000,9.99,2.49,24.92,2755,2588,167,8
2016-01-04,213000,2.49,9.99,401.2,2908,2735,173,8
2016-02-05,224000,9.99,2.49,24.92,3031,2852,179,8
2016-02-12,223000,2.49,9.99,401.2,3066,2885,181,8
2016-03-14,227000,9.99,2.49,24.92,3143,2957,186,8
2016-03-21,227000,2.49,9.99,401.2,3179,2990,189,8
2016-04-28,232000,9.99,2.49,24.92,3250,3056,194,8
2016-05-02,234000,2.49,9.99,401.2,3281,3086,195,8
2016-05-05,237000,9.99,2.49,24.92,3299,3104,195,8
2016-05-09,239000,2.49,9.99,401.2,3329,3130,199,8
2016-06-23,237000,9.99,2.49,24.92,3466,3253,213,8
2016-07-04,247000,2.49,9.99,401.2,3539,3324,215,8
2016-08-12,247000,9.99,5.99,59.96,3630,3411,219,8
2016-08-14,250000,5.99,9.99,166.78,3638,3418,220,8
2016-10-28,256000,9.99,2.49,24.92,3727,3502,225,8
2016-11-01,256000,2.49,9.99,401.2,3737,3512,225,8
2016-11-23,261000,9.99,2.49,24.92,3759,3531,228,8
2016-11-29,262000,2.49,9.99,401.2,3968,3736,232,8
2016-12-22,264000,9.99,2.49,24.92,4005,3773,232,8
2017-01-02,272000,2.49,9.99,401.2,4070,3836,234,8
2017-03-30,276000,9.99,2.49,24.92,4196,3950,246,8
2017-04-03,273000,2.49,9.99,401.2,4203,3956,247,8
2017-05-18,281000,9.99,2.49,24.92,4245,3995,250,8
2017-05-22,279000,2.49,9.99,401.2,4261,4009,252,8
2017-06-22,279000,9.99,1.99,19.92,4311,4055,256,8
2017-07-05,286000,1.99,9.99,502.01,4390,4129,261,8
2017-11-22,297000,9.99,2.49,24.92,4579,4305,274,8
2017-11-28,300000,2.49,9.99,401.2,4699,4422,277,8
2017-12-21,302000,9.99,2.49,24.92,4738,4456,282,8
2018-01-04,307000,2.49,9.99,401.2,4788,4501,287,8
2018-02-15,302000,9.99,2.49,24.92,4858,4566,292,8
2018-02-19,304000,2.49,9.99,401.2,4866,4573,293,8
2018-05-10,270000,9.99,1.99,19.92,4918,4624,294,8
2018-05-14,274000,1.99,9.99,502.01,4929,4635,294,8
2018-06-20,273000,9.99,2.49,24.92,4974,4676,298,8
2018-07-05,276000,2.49,9.99,401.2,5006,4708,298,8
2018-10-29,281000,9.99,2.49,24.92,5076,4775,301,8
2018-11-01,281000,2.49,9.99,401.2,5079,4778,301,8
2018-11-21,281000,9.99,2.49,24.92,5090,4789,301,8
2018-11-27,282000,2.49,9.99,401.2,5124,4822,302,8
2018-12-20,283000,9.99,2.49,24.92,5142,4839,303,8
2019-01-03,284000,2.49,9.99,401.2,5169,4864,305,8
2019-02-04,285000,9.99,2.49,24.92,5185,4879,306,8
2019-02-11,286000,2.49,9.99,401.2,5192,4885,307,8
2019-06-10,295000,9.99,2.49,24.92,5246,4931,315,8
2019-06-14,295000,2.49,9.99,401.2,5251,4935,316,8
2019-06-25,295000,9.99,2.49,24.92,5261,4943,318,8
2019-07-09,300000,2.49,9.99,401.2,5368,5044,324,8
2019-08-29,301000,9.99,2.49,24.92,5404,5077,327,8
2019-09-02,303000,2.49,9.99,401.2,5418,5091,327,8
2019-10-27,302000,9.99,2.49,24.92,5446,5114,332,8
2019-11-01,303000,2.49,9.99,401.2,5448,5116,332,8
2019-11-10,302000,9.99,2.49,24.92,5464,5132,332,8
2019-11-12,303000,2.49,9.99,401.2,5464,5132,332,8
2019-11-26,303000,9.99,2.49,24.92,5478,5146,332,8
2019-12-03,304000,2.49,9.99,401.2,5493,5161,332,8
2019-12-19,304000,9.99,2.49,24.92,5506,5173,333,8
2020-01-02,304000,2.49,9.99,401.2,5531,5198,333,8
2020-01-23,278000,9.99,2.49,24.92,5557,5224,333,8
2020-01-27,278000,2.49,9.99,401.2,5561,5228,333,8
2020-03-03,269000,9.99,2.49,24.92,5597,5260,337,8
2020-03-07,270000,2.49,9.99,401.2,5604,5267,337,8
2020-04-16,273000,9.99,2.49,24.92,5652,5312,340,8
2020-04-20,274000,2.49,9.99,401.2,5665,5324,341,8
2020-06-25,275000,9.99,2.49,24.92,5739,5394,345,8
2020-07-09,276000,2.49,9.99,401.2,5776,5427,349,8
2020-10-29,170000,9.99,1.99,19.92,5879,5521,358,8
2020-11-02,280000,1.99,9.99,502.01,5885,5526,359,8
2020-11-16,279000,9.99,1.99,19.92,5905,5544,361,8
2020-11-23,281000,1.99,9.99,502.01,5921,5558,363,8
2020-11-25,281000,9.99,1.99,19.92,5926,5562,364,8
2020-12-01,281000,1.99,9.99,502.01,5947,5582,365,8
2020-12-22,282000,9.99,1.99,19.92,5983,5614,369,8
2021-01-05,283000,1.99,9.99,502.01,6040,5667,373,8
2021-01-21,283000,9.99,4.99,49.95,6070,5697,373,8
2021-01-25,284000,4.99,9.99,200.2,6075,5701,374,8
2021-01-28,284000,9.99,4.99,49.95,6079,5705,374,8
2021-02-04,284000,4.99,9.99,200.2,6087,5713,374,8
2021-02-07,284000,9.99,4.99,49.95,6093,5719,374,8
2021-02-08,284000,4.99,9.99,200.2,6093,5719,374,8
2021-02-09,284000,9.99,4.99,49.95,6094,5720,374,8
2021-02-11,284000,4.99,1.99,39.88,6094,5720,374,8
2021-02-12,284000,1.99,0.99,49.75,6095,5721,374,8
2021-02-13,284000,0.99,1.99,201.01,6097,5723,374,8
2021-02-15,284000,1.99,9.99,502.01,6107,5731,376,8
2021-02-18,285000,9.99,4.99,49.95,6114,5738,376,8
2021-02-20,285000,4.99,9.99,200.2,6115,5739,376,8
2021-02-21,285000,9.99,4.99,49.95,6117,5741,376,8
2021-02-22,285000,4.99,9.99,200.2,6118,5742,376,8
2021-02-23,285000,9.99,4.99,49.95,6119,5743,376,8
2021-02-24,285000,4.99,9.99,200.2,6119,5743,376,8
2021-02-26,285000,9.99,4.99,49.95,6120,5744,376,8
2021-03-01,285000,4.99,9.99,200.2,6122,5746,376,8
2021-03-04,285000,9.99,4.99,49.95,6126,5750,376,8
2021-03-05,178000,4.99,9.99,200.2,6128,5752,376,8
2021-03-07,285000,9.99,4.99,49.95,6132,5756,376,8
2021-03-08,285000,4.99,9.99,200.2,6133,5757,376,8
2021-03-10,285000,9.99,4.99,49.95,6136,5760,376,8
2021-03-11,285000,4.99,9.99,200.2,6140,5762,378,8
2021-03-12,174000,9.99,4.99,49.95,6140,5762,378,8
2021-03-17,278000,4.99,9.99,200.2,6146,5768,378,8
2021-03-18,278000,9.99,4.99,49.95,6149,5770,379,8
2021-03-19,278000,4.99,9.99,200.2,6150,5771,379,8
2021-03-20,278000,9.99,4.99,49.95,6150,5771,379,8
2021-03-23,277000,4.99,9.99,200.2,6153,5774,379,8
2021-03-24,278000,9.99,4.99,49.95,6156,5776,380,8
2021-03-25,278000,4.99,9.99,200.2,6156,5776,380,8
2021-03-26,278000,9.99,4.99,49.95,6156,5776,380,8
2021-03-27,278000,4.99,9.99,200.2,6156,5776,380,8
2021-04-01,278000,9.99,4.99,49.95,6158,5778,380,8
2021-04-03,278000,4.99,9.99,200.2,6160,5780,380,8
2021-04-04,278000,9.99,4.99,49.95,6161,5781,380,8
2021-04-09,278000,4.99,9.99,200.2,6166,5786,380,8
2021-04-10,278000,9.99,4.99,49.95,6166,5786,380,8
2021-04-11,278000,4.99,9.99,200.2,6168,5788,380,8
2021-04-12,278000,9.99,4.99,49.95,6169,5789,380,8
2021-04-13,278000,4.99,9.99,200.2,6171,5791,380,8
2021-04-15,278000,9.99,4.99,49.95,6173,5793,380,8
2021-04-16,175000,4.99,9.99,200.2,6176,5796,380,8
2021-04-18,279000,9.99,4.99,49.95,6180,5799,381,8
2021-04-23,279000,4.99,9.99,200.2,6184,5803,381,8
2021-04-24,279000,9.99,4.99,49.95,6185,5804,381,8
