date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-04-02,95000,13.39,19.99,149.29,1110,928,182,8
2015-06-12,104000,19.99,14.99,74.99,1285,1066,219,8
2015-06-15,105000,14.99,13.39,89.33,1298,1075,223,8
2015-06-16,105000,13.39,14.99,111.95,1304,1079,225,8
2015-06-22,108000,14.99,19.99,133.36,1337,1107,230,8
2015-11-10,177000,19.99,13.39,66.98,1749,1433,316,8
2015-11-16,182000,13.39,19.99,149.29,1778,1452,326,8
2015-11-25,179000,19.99,13.39,66.98,1806,1472,334,8
2015-12-01,184000,13.39,19.99,149.29,1820,1479,341,8
2015-12-22,192000,19.99,13.39,66.98,1935,1558,377,8
2016-01-04,208000,13.39,19.99,149.29,2081,1657,424,6
2016-02-05,231000,19.99,14.99,74.99,2318,1845,473,6
2016-02-12,223000,14.99,19.99,133.36,2374,1893,481,6
2016-06-23,321000,19.99,14.99,74.99,3481,2779,702,6
2016-07-04,346000,14.99,19.99,133.36,3732,2971,761,6
2016-11-23,501000,19.99,13.39,66.98,5332,4267,1065,8
2016-11-29,515000,13.39,19.99,149.29,5901,4783,1118,8
2016-12-22,581000,19.99,13.39,66.98,6166,4999,1167,8
2017-01-02,652000,13.39,19.99,149.29,6992,5435,1557,6
2017-01-06,691000,19.99,13.39,66.98,7183,5556,1627,6
2017-01-09,700000,13.39,19.99,149.29,7605,5783,1822,6
2017-06-22,829000,19.99,13.39,66.98,9653,7210,2443,6
2017-07-05,877000,13.39,19.99,149.29,10086,7448,2638,6
2017-09-21,970000,19.99,13.39,66.98,10886,7995,2891,6
2017-09-25,968000,13.39,19.99,149.29,11385,8249,3136,6
2017-12-12,989000,19.99,15.99,79.99,12662,9180,3482,6
2017-12-19,1018000,15.99,19.99,125.02,13158,9432,3726,6
2017-12-20,1020000,19.99,15.99,79.99,13199,9451,3748,6
2018-01-04,1067000,15.99,19.99,125.02,13670,9698,3972,6
2018-02-15,1086000,19.99,15.99,79.99,14317,10083,4234,6
2018-02-19,1093000,15.99,19.99,125.02,14395,10124,4271,6
2018-04-12,1134000,19.99,15.99,79.99,14803,10382,4421,6
2018-04-16,1138000,15.99,19.99,125.02,14844,10408,4436,6
2018-06-21,996000,19.99,12.59,62.98,15167,10647,4520,6
2018-07-05,1011000,12.59,19.99,158.78,15361,10764,4597,6
2018-07-20,1014000,19.99,14.99,74.99,15447,10824,4623,6
2018-07-23,980000,14.99,19.99,133.36,15471,10838,4633,6
2018-12-21,1049000,19.99,15.99,79.99,16429,11571,4858,6
2019-01-03,1061000,15.99,19.99,125.02,16543,11640,4903,6
2019-02-04,1074000,19.99,13.39,66.98,16709,11739,4970,6
2019-02-11,1081000,13.39,19.99,149.29,16773,11779,4994,6
2019-06-24,1145000,19.99,15.99,79.99,17237,12110,5127,6
2019-07-09,1181000,15.99,19.99,125.02,17774,12590,5184,6
2019-10-02,1217000,19.99,13.39,66.98,18021,12765,5256,6
2019-10-06,1222000,13.39,19.99,149.29,18045,12782,5263,6
2020-02-11,1171000,19.99,9.99,49.97,19398,13997,5401,6
2020-02-14,1201000,9.99,19.99,200.1,19471,14044,5427,6
2020-06-25,1298000,19.99,9.99,49.97,21027,15392,5635,6
2020-07-09,1352000,9.99,19.99,200.1,21593,15861,5732,6
2020-10-18,1127000,19.99,9.99,49.97,22910,17007,5903,6
2020-10-26,1152000,9.99,19.99,200.1,23097,17158,5939,6
2020-10-29,1446000,19.99,9.99,49.97,23160,17206,5954,6
2020-11-02,1150000,9.99,19.99,200.1,23232,17259,5973,6
2020-11-12,1460000,19.99,9.99,49.97,23366,17371,5995,6
2020-11-16,540000,9.99,19.99,200.1,23445,17429,6016,6
2020-11-25,1477000,19.99,9.99,49.97,23573,17540,6033,6
2020-12-01,1497000,9.99,19.99,200.1,23790,17728,6062,6
2020-12-07,1500000,19.99,9.99,49.97,23883,17811,6072,6
2020-12-13,1114000,9.99,19.99,200.1,24090,17973,6117,6
2020-12-22,1113000,19.99,9.99,49.97,24305,18148,6157,6
2021-01-05,1129000,9.99,19.99,200.1,24802,18556,6246,6
2021-01-25,1136000,19.99,9.99,49.97,25182,18889,6293,6
2021-01-31,1148000,9.99,19.99,200.1,25367,19046,6321,6
2021-02-11,1148000,19.99,9.99,49.97,25643,19280,6363,6
2021-02-15,1152000,9.99,19.99,200.1,25752,19369,6383,6
2021-03-15,1133000,19.99,9.99,49.97,26203,19776,6427,6
2021-03-29,1149000,9.99,19.99,200.1,26626,20142,6484,6
2021-05-10,1166000,19.99,8.99,44.97,27386,20830,6556,6
2021-05-24,1193000,8.99,19.99,222.36,28096,21425,6671,6
2021-06-24,1215000,19.99,9.99,49.97,28776,22015,6761,6
2021-07-08,1228000,9.99,19.99,200.1,29228,22394,6834,6
2021-09-06,1270000,19.99,8.99,44.97,30395,23463,6932,6
2021-09-20,1290000,8.99,19.99,222.36,31012,24005,7007,6
2021-10-28,1316000,19.99,8.99,44.97,31719,24653,7066,6
2021-11-01,1319000,8.99,19.99,222.36,31867,24790,7077,6
2021-11-24,1336000,19.99,8.99,44.97,32246,25134,7112,6
