date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-04-06,49000,1.99,4.99,250.75,749,655,94,8
2015-06-11,48000,4.99,2.49,49.9,782,685,97,8
2015-06-22,51000,2.49,4.99,200.4,792,695,97,8
2015-08-10,54000,4.99,1.99,39.88,806,709,97,8
2015-08-18,56000,1.99,4.99,250.75,831,729,102,8
2015-11-01,55000,4.99,1.99,39.88,869,759,110,8
2015-11-02,55000,1.99,4.99,250.75,871,760,111,8
2015-11-26,57000,4.99,1.99,39.88,883,772,111,8
2015-12-02,55000,1.99,4.99,250.75,887,776,111,8
2015-12-22,57000,4.99,1.99,39.88,895,784,111,8
2016-01-04,57000,1.99,4.99,250.75,907,796,111,8
2016-02-05,61000,4.99,2.49,49.9,927,813,114,8
2016-02-12,57000,2.49,4.99,200.4,930,816,114,8
2016-03-28,57000,4.99,2.49,49.9,953,838,115,8
2016-04-04,57000,2.49,4.99,200.4,958,843,115,8
2016-04-29,58000,4.99,2.49,49.9,966,847,119,8
2016-05-02,59000,2.49,4.99,200.4,968,849,119,8
2016-06-23,56000,4.99,2.49,49.9,983,861,122,8
2016-07-04,55000,2.49,4.99,200.4,989,866,123,8
2016-10-28,61000,4.99,2.49,49.9,1005,881,124,8
2016-11-01,62000,2.49,4.99,200.4,1005,881,124,8
2016-11-23,59000,4.99,2.49,49.9,1014,889,125,8
2016-11-29,57000,2.49,4.99,200.4,1032,907,125,8
2016-12-22,62000,4.99,2.49,49.9,1036,911,125,8
2017-01-02,61000,2.49,4.99,200.4,1039,914,125,8
2017-03-31,56000,4.99,2.49,49.9,1054,927,127,8
2017-04-03,59000,2.49,4.99,200.4,1054,927,127,8
2017-06-22,63000,4.99,2.49,49.9,1073,942,131,8
2017-07-05,62000,2.49,4.99,200.4,1077,946,131,8
2017-10-26,63000,4.99,2.49,49.9,1092,959,133,8
2017-11-01,62000,2.49,4.99,200.4,1094,960,134,8
2017-11-23,64000,4.99,2.49,49.9,1101,967,134,8
2017-11-29,63000,2.49,4.99,200.4,1111,977,134,8
2017-12-21,66000,4.99,2.49,49.9,1116,981,135,8
2018-01-04,68000,2.49,4.99,200.4,1117,982,135,8
2018-02-15,61000,4.99,2.49,49.9,1129,991,138,8
2018-02-19,62000,2.49,4.99,200.4,1131,993,138,8
2018-06-20,57000,4.99,2.49,49.9,1144,1005,139,8
2018-07-05,57000,2.49,4.99,200.4,1147,1007,140,8
2018-10-29,57000,4.99,2.49,49.9,1155,1013,142,8
2018-11-01,57000,2.49,4.99,200.4,1155,1013,142,8
2018-11-21,57000,4.99,2.49,49.9,1160,1018,142,8
2018-11-27,57000,2.49,4.99,200.4,1162,1020,142,8
2018-12-20,57000,4.99,2.49,49.9,1166,1023,143,8
2019-01-03,58000,2.49,4.99,200.4,1168,1024,144,8
2019-02-04,57000,4.99,2.49,49.9,1172,1028,144,8
2019-02-11,58000,2.49,4.99,200.4,1174,1030,144,8
2019-04-29,58000,4.99,2.49,49.9,1184,1038,146,8
2019-05-06,59000,2.49,4.99,200.4,1189,1043,146,8
2019-06-25,60000,4.99,2.49,49.9,1192,1046,146,8
2019-07-08,60000,2.49,4.99,200.4,1206,1058,148,8
2019-10-27,61000,4.99,2.49,49.9,1226,1075,151,8
2019-11-01,61000,2.49,4.99,200.4,1227,1076,151,8
2019-11-26,61000,4.99,2.49,49.9,1230,1078,152,8
2019-12-03,62000,2.49,4.99,200.4,1234,1082,152,8
2019-12-19,61000,4.99,2.49,49.9,1235,1083,152,8
2020-01-02,62000,2.49,4.99,200.4,1238,1086,152,8
2020-01-23,57000,4.99,2.49,49.9,1242,1089,153,8
2020-01-27,56000,2.49,4.99,200.4,1244,1091,153,8
2020-04-30,57000,4.99,2.49,49.9,1250,1095,155,8
2020-05-06,57000,2.49,4.99,200.4,1253,1098,155,8
2020-06-25,58000,4.99,2.49,49.9,1262,1106,156,8
2020-07-09,58000,2.49,4.99,200.4,1267,1111,156,8
2020-10-29,60000,4.99,2.49,49.9,1280,1120,160,8
2020-11-02,61000,2.49,4.99,200.4,1281,1121,160,8
2020-11-25,60000,4.99,2.49,49.9,1282,1122,160,8
2020-12-01,60000,2.49,4.99,200.4,1282,1122,160,8
2020-12-22,60000,4.99,2.49,49.9,1283,1123,160,8
2021-01-05,60000,2.49,4.99,200.4,1290,1130,160,8
2021-02-12,61000,4.99,2.49,49.9,1295,1134,161,8
2021-02-15,61000,2.49,4.99,200.4,1295,1134,161,8
2021-04-29,59000,4.99,2.49,49.9,1302,1141,161,8
2021-05-06,56000,2.49,4.99,200.4,1306,1145,161,8
2021-06-24,60000,4.99,2.49,49.9,1309,1148,161,8
2021-07-08,61000,2.49,4.99,200.4,1312,1150,162,8
2021-10-28,62000,4.99,2.49,49.9,1320,1157,163,8
2021-11-01,62000,2.49,4.99,200.4,1322,1159,163,8
2021-11-24,62000,4.99,2.49,49.9,1325,1162,163,8
2021-11-30,62000,2.49,4.99,200.4,1326,1163,163,8
2021-12-22,62000,4.99,2.49,49.9,1327,1164,163,8
2022-01-05,63000,2.49,4.99,200.4,1327,1164,163,8
2022-01-26,62000,4.99,2.49,49.9,1328,1165,163,8
2022-02-03,63000,2.49,4.99,200.4,1331,1167,164,8
2022-06-23,63000,4.99,2.49,49.9,1343,1178,165,8
2022-07-07,63000,2.49,4.99,200.4,1347,1182,165,8
