date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-11,78000,9.99,2.49,24.92,331,306,25,8
2015-06-22,86000,2.49,9.99,401.2,352,323,29,8
2015-10-29,93000,9.99,4.99,49.95,431,394,37,8
2015-11-02,91000,4.99,9.99,200.2,434,397,37,8
2015-11-25,91000,9.99,4.99,49.95,448,409,39,8
2015-12-01,94000,4.99,9.99,200.2,453,414,39,8
2015-12-22,94000,9.99,4.99,49.95,461,422,39,8
2016-01-04,97000,4.99,9.99,200.2,471,432,39,8
2016-02-05,101000,9.99,4.99,49.95,485,444,41,8
2016-02-12,101000,4.99,9.99,200.2,487,446,41,8
2016-04-29,124000,9.99,4.99,49.95,510,465,45,8
2016-05-03,143000,4.99,9.99,200.2,514,468,46,8
2016-06-23,181000,9.99,4.99,49.95,573,518,55,8
2016-07-04,179000,4.99,9.99,200.2,584,527,57,8
2016-10-28,193000,9.99,6.99,69.97,640,573,67,8
2016-11-01,198000,6.99,9.99,142.92,641,573,68,8
2016-11-23,202000,9.99,6.69,66.97,649,580,69,8
2016-11-29,197000,6.69,9.99,149.33,669,600,69,8
2016-12-22,197000,9.99,4.99,49.95,677,606,71,8
2017-01-02,201000,4.99,9.99,200.2,689,617,72,8
2017-03-30,201000,9.99,5.99,59.96,737,652,85,8
2017-04-03,206000,5.99,9.99,166.78,740,655,85,8
2017-06-22,205000,9.99,4.99,49.95,772,681,91,8
2017-07-05,212000,4.99,9.99,200.2,781,689,92,8
2017-10-26,206000,9.99,7.49,74.97,816,719,97,8
2017-11-01,211000,7.49,9.99,133.38,817,720,97,8
2017-11-22,214000,9.99,4.99,49.95,824,727,97,8
2017-11-28,213000,4.99,9.99,200.2,831,734,97,8
2017-12-21,220000,9.99,4.99,49.95,834,737,97,8
2018-01-04,216000,4.99,9.99,200.2,844,742,102,8
2018-06-20,196000,9.99,4.99,49.95,882,768,114,8
2018-07-05,198000,4.99,9.99,200.2,887,768,119,8
2018-10-29,199000,9.99,6.99,69.97,915,789,126,8
2018-11-01,199000,6.99,9.99,142.92,915,789,126,8
2018-12-20,198000,9.99,5.49,54.95,920,794,126,8
2019-01-03,198000,5.49,9.99,181.97,926,800,126,8
2019-06-25,203000,9.99,5.99,59.96,950,820,130,8
2019-07-09,205000,5.99,9.99,166.78,968,837,131,8
2019-11-26,208000,9.99,5.99,59.96,993,858,135,8
2019-12-03,209000,5.99,9.99,166.78,995,860,135,8
2020-03-16,183000,9.99,6.99,69.97,1020,882,138,8
2020-03-30,186000,6.99,9.99,142.92,1024,885,139,8
2020-12-22,190000,9.99,4.99,49.95,1112,953,159,8
2021-01-05,191000,4.99,9.99,200.2,1126,964,162,8
2021-10-28,180000,9.99,4.99,49.95,1207,1038,169,8
2021-11-01,180000,4.99,9.99,200.2,1208,1039,169,8
2021-12-22,179000,9.99,4.99,49.95,1223,1052,171,8
2022-01-05,180000,4.99,9.99,200.2,1230,1055,175,8
2022-06-01,179000,9.99,4.99,49.95,1270,1090,180,8
2022-06-16,179000,4.99,9.99,200.2,1282,1101,181,8
