date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-11,27000,4.99,2.49,49.9,400,314,86,6
2015-06-22,28000,2.49,4.99,200.4,411,324,87,6
2015-10-29,33000,4.99,1.24,24.85,457,363,94,6
2015-11-02,33000,1.24,4.99,402.42,465,369,96,6
2015-11-25,33000,4.99,1.24,24.85,482,386,96,8
2015-12-02,36000,1.24,4.99,402.42,488,392,96,8
2015-12-22,38000,4.99,1.24,24.85,504,406,98,8
2016-01-04,41000,1.24,4.99,402.42,529,429,100,8
2016-02-05,45000,4.99,1.24,24.85,552,448,104,8
2016-02-12,44000,1.24,4.99,402.42,558,453,105,8
2016-05-23,46000,4.99,1.24,24.85,596,484,112,8
2016-05-30,49000,1.24,4.99,402.42,614,500,114,8
2016-06-23,50000,4.99,1.24,24.85,630,513,117,8
2016-07-04,50000,1.24,4.99,402.42,644,526,118,8
2016-10-03,51000,4.99,1.24,24.85,667,544,123,8
2016-10-10,56000,1.24,4.99,402.42,679,555,124,8
2016-10-28,56000,4.99,1.24,24.85,683,559,124,8
2016-11-01,56000,1.24,4.99,402.42,689,565,124,8
2016-11-23,58000,4.99,0.99,19.84,695,571,124,8
2016-11-29,57000,0.99,4.99,504.04,714,589,125,8
2016-12-22,57000,4.99,0.99,19.84,721,596,125,8
2017-01-01,60000,0.99,4.99,504.04,729,602,127,8
2017-04-10,61000,4.99,0.99,19.84,760,629,131,8
2017-04-17,62000,0.99,4.99,504.04,772,639,133,8
2017-06-22,61000,4.99,0.99,19.84,789,653,136,8
2017-07-05,65000,0.99,4.99,504.04,808,668,140,8
2017-10-26,67000,4.99,0.99,19.84,841,700,141,8
2017-10-31,71000,0.99,4.99,504.04,846,704,142,8
2017-11-22,65000,4.99,0.99,19.84,857,712,145,8
2017-11-29,68000,0.99,4.99,504.04,874,729,145,8
2017-12-20,64000,4.99,0.99,19.84,879,733,146,8
2018-01-05,72000,0.99,4.99,504.04,887,740,147,8
2018-02-16,70000,4.99,0.99,19.84,896,747,149,8
2018-02-19,71000,0.99,4.99,504.04,897,748,149,8
2018-06-20,64000,4.99,0.99,19.84,920,767,153,8
2018-07-05,64000,0.99,4.99,504.04,924,771,153,8
2018-10-29,65000,4.99,0.99,19.84,948,790,158,8
2018-11-01,66000,0.99,4.99,504.04,950,792,158,8
2018-11-21,65000,4.99,0.99,19.84,952,794,158,8
2018-11-27,65000,0.99,4.99,504.04,959,801,158,8
2018-12-20,65000,4.99,0.99,19.84,961,802,159,8
2019-01-03,65000,0.99,4.99,504.04,964,805,159,8
2019-02-04,66000,4.99,0.99,19.84,969,808,161,8
2019-02-11,66000,0.99,4.99,504.04,970,809,161,8
2019-06-25,65000,4.99,0.99,19.84,988,821,167,8
2019-07-09,66000,0.99,4.99,504.04,1010,842,168,8
2019-10-27,68000,4.99,0.99,19.84,1026,857,169,8
2019-11-01,69000,0.99,4.99,504.04,1029,860,169,8
2019-11-26,69000,4.99,0.99,19.84,1037,868,169,8
2019-12-03,69000,0.99,4.99,504.04,1042,873,169,8
2019-12-19,69000,4.99,0.99,19.84,1046,876,170,8
2020-01-02,70000,0.99,4.99,504.04,1056,885,171,8
2020-01-23,64000,4.99,0.99,19.84,1064,892,172,8
2020-01-27,64000,0.99,4.99,504.04,1064,892,172,8
2020-06-25,42000,4.99,0.99,19.84,1101,925,176,8
2020-07-09,42000,0.99,4.99,504.04,1115,936,179,8
2020-10-29,51000,4.99,0.99,19.84,1149,968,181,8
2020-11-02,51000,0.99,4.99,504.04,1155,973,182,8
2020-11-25,52000,4.99,0.99,19.84,1165,981,184,8
2020-12-01,53000,0.99,4.99,504.04,1167,983,184,8
2020-12-22,53000,4.99,0.99,19.84,1172,987,185,8
2021-01-05,54000,0.99,4.99,504.04,1179,992,187,8
2021-02-12,54000,4.99,0.99,19.84,1197,1009,188,8
2021-02-15,54000,0.99,4.99,504.04,1200,1012,188,8
2021-06-24,60000,4.99,0.99,19.84,1235,1044,191,8
2021-07-08,60000,0.99,4.99,504.04,1243,1052,191,8
2021-10-28,65000,4.99,0.99,19.84,1284,1088,196,8
2021-11-01,65000,0.99,4.99,504.04,1292,1095,197,8
2021-11-24,69000,4.99,0.99,19.84,1309,1111,198,8
2021-11-30,67000,0.99,4.99,504.04,1322,1124,198,8
2021-12-22,70000,4.99,0.99,19.84,1332,1134,198,8
2022-01-05,71000,0.99,4.99,504.04,1348,1149,199,8
2022-01-27,72000,4.99,0.99,19.84,1357,1158,199,8
2022-02-03,71000,0.99,4.99,504.04,1363,1162,201,8
2022-03-28,74000,4.99,0.99,19.84,1390,1187,203,8
2022-04-04,74000,0.99,4.99,504.04,1401,1197,204,8
2022-06-23,78000,4.99,0.99,19.84,1433,1228,205,8
2022-07-07,80000,0.99,4.99,504.04,1447,1241,206,8
2022-10-25,86000,4.99,0.99,19.84,1489,1278,211,8
2022-11-01,83000,0.99,4.99,504.04,1507,1293,214,8
