date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-15,5000,19.99,14.99,74.99,77,72,5,8
2015-06-22,5000,14.99,19.99,133.36,80,75,5,8
2015-11-25,7000,19.99,14.99,74.99,95,88,7,8
2015-12-01,6000,14.99,19.99,133.36,95,88,7,8
2015-12-22,8000,19.99,14.99,74.99,98,91,7,8
2016-01-04,6000,14.99,19.99,133.36,101,93,8,8
2016-02-05,8000,19.99,14.99,74.99,104,96,8,8
2016-02-12,8000,14.99,19.99,133.36,105,97,8,8
2016-06-23,9000,19.99,14.99,74.99,122,113,9,8
2016-07-04,8000,14.99,19.99,133.36,124,115,9,8
2016-10-28,9000,19.99,14.99,74.99,148,138,10,8
2016-11-01,9000,14.99,19.99,133.36,151,141,10,8
2016-11-23,12000,19.99,13.39,66.98,154,144,10,8
2016-11-29,11000,13.39,19.99,149.29,167,157,10,8
2016-12-22,11000,19.99,13.39,66.98,172,162,10,8
2017-01-02,14000,13.39,19.99,149.29,175,165,10,8
2017-05-23,16000,19.99,14.99,74.99,207,194,13,8
2017-05-30,18000,14.99,19.99,133.36,270,252,18,8
2017-06-22,17000,19.99,14.99,74.99,318,292,26,8
2017-07-05,18000,14.99,19.99,133.36,331,301,30,8
2017-09-02,19000,19.99,14.99,74.99,355,319,36,8
2017-09-04,18000,14.99,19.99,133.36,355,319,36,8
2017-10-26,19000,19.99,13.99,69.98,362,324,38,8
2017-11-01,19000,13.99,19.99,142.89,363,324,39,8
2017-11-22,20000,19.99,13.99,69.98,370,327,43,8
2017-11-28,18000,13.99,19.99,142.89,382,338,44,8
2017-12-21,20000,19.99,13.99,69.98,386,341,45,8
2018-01-04,22000,13.99,19.99,142.89,392,344,48,8
2018-02-16,19000,19.99,13.99,69.98,397,348,49,8
2018-02-18,19000,13.99,19.99,142.89,398,348,50,8
2018-06-21,20000,19.99,11.99,59.98,413,361,52,8
2018-07-05,20000,11.99,19.99,166.72,417,365,52,8
2018-10-29,23000,19.99,9.99,49.97,430,376,54,8
2018-11-01,24000,9.99,19.99,200.1,431,376,55,8
2018-11-21,25000,19.99,9.99,49.97,434,378,56,8
2018-11-27,25000,9.99,19.99,200.1,438,382,56,8
2018-12-20,26000,19.99,6.79,33.97,441,383,58,8
2019-01-03,26000,6.79,19.99,294.4,449,389,60,8
2019-02-04,27000,19.99,6.79,33.97,459,397,62,8
2019-02-11,28000,6.79,19.99,294.4,463,400,63,8
2019-04-11,27000,19.99,5.99,29.96,477,411,66,8
2019-04-15,28000,5.99,19.99,333.72,479,412,67,8
2019-05-28,30000,19.99,5.99,29.96,500,427,73,8
2019-06-03,30000,5.99,19.99,333.72,504,430,74,8
2019-06-25,31000,19.99,4.99,24.96,511,433,78,8
2019-07-09,31000,4.99,19.99,400.6,535,456,79,8
2019-08-19,32000,19.99,5.99,29.96,540,459,81,8
2019-08-25,32000,5.99,19.99,333.72,544,463,81,8
2019-10-07,33000,19.99,4.99,24.96,549,468,81,8
2019-10-14,33000,4.99,19.99,400.6,552,470,82,8
2019-10-28,33000,19.99,4.99,24.96,554,471,83,8
2019-11-01,33000,4.99,19.99,400.6,557,473,84,8
2019-11-26,33000,19.99,4.99,24.96,566,482,84,8
2019-12-03,33000,4.99,19.99,400.6,572,488,84,8
2019-12-19,33000,19.99,4.99,24.96,575,491,84,8
2020-01-02,34000,4.99,19.99,400.6,580,495,85,8
2020-01-23,31000,19.99,4.99,24.96,585,500,85,8
2020-01-26,31000,4.99,19.99,400.6,586,501,85,8
2020-03-23,32000,19.99,1.99,9.95,596,508,88,8
2020-03-29,36000,1.99,19.99,1004.52,608,519,89,8
2020-05-05,36000,19.99,1.99,9.95,631,540,91,8
2020-05-11,39000,1.99,19.99,1004.52,645,552,93,8
2020-06-25,38000,19.99,1.99,9.95,674,577,97,8
2020-07-09,39000,1.99,19.99,1004.52,682,584,98,8
2020-10-29,40000,19.99,1.99,9.95,717,609,108,8
2020-11-02,41000,1.99,19.99,1004.52,717,609,108,8
2020-11-25,41000,19.99,1.99,9.95,725,615,110,8
2020-12-01,40000,1.99,19.99,1004.52,728,618,110,8
2020-12-22,41000,19.99,1.99,9.95,734,624,110,8
2021-01-05,41000,1.99,19.99,1004.52,739,629,110,8
2021-02-12,42000,19.99,2.39,11.96,745,635,110,8
2021-02-14,42000,2.39,19.99,836.4,746,635,111,8
2021-06-24,44000,19.99,4.99,24.96,762,650,112,8
2021-07-08,45000,4.99,19.99,400.6,763,651,112,8
2021-10-28,46000,19.99,1.99,9.95,770,656,114,8
2021-11-01,46000,1.99,19.99,1004.52,771,657,114,8
2021-11-24,46000,19.99,1.99,9.95,774,660,114,8
2021-12-01,47000,1.99,19.99,1004.52,775,661,114,8
2021-12-22,47000,19.99,1.99,9.95,775,661,114,8
2022-01-05,47000,1.99,19.99,1004.52,780,664,116,8
2022-01-27,47000,19.99,2.39,11.96,784,668,116,8
2022-02-03,47000,2.39,19.99,836.4,786,670,116,8
2022-06-23,48000,19.99,1.99,9.95,797,678,119,8
2022-07-06,48000,1.99,19.99,1004.52,803,684,119,8
