date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2018-03-04,1000,0.0,35.99,,0,0,0,0
2018-03-29,8000,35.99,39.99,111.11,83,75,8,8
2018-06-21,13000,39.99,19.99,49.99,246,218,28,8
2018-07-05,15000,19.99,39.99,200.05,262,230,32,8
2018-07-09,15000,39.99,19.99,49.99,265,233,32,8
2018-07-20,18000,19.99,39.99,200.05,279,243,36,8
2018-10-19,25000,39.99,9.99,24.98,339,285,54,8
2018-11-02,57000,9.99,19.99,200.1,365,306,59,8
2018-11-21,61000,19.99,9.99,49.97,386,325,61,8
2018-11-27,65000,9.99,19.99,200.1,420,356,64,8
2018-11-28,65000,19.99,9.99,49.97,423,359,64,8
2018-11-30,84000,9.99,19.99,200.1,428,362,66,8
2018-12-20,76000,19.99,4.99,24.96,445,376,69,8
2019-01-03,102000,4.99,19.99,400.6,474,402,72,8
2019-02-04,89000,19.99,4.99,24.96,507,429,78,8
2019-02-11,124000,4.99,19.99,400.6,519,437,82,8
