date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2016-11-23,18000,9.99,6.69,66.97,208,182,26,8
2016-11-29,18000,6.69,9.99,149.33,219,193,26,8
2019-07-25,94000,9.99,14.99,150.05,974,868,106,8
2020-12-30,124000,14.99,19.99,133.36,1320,1205,115,8
2021-05-27,125000,19.99,14.99,74.99,1390,1273,117,8
2021-05-31,127000,14.99,19.99,133.36,1390,1273,117,8
2022-08-01,52000,19.99,14.99,74.99,1527,1396,131,8
2022-08-08,51000,14.99,19.99,133.36,1528,1396,132,8
