date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-06-11,737000,7.99,3.19,39.92,1475,1244,231,8
2015-06-23,724000,3.19,7.99,250.47,1485,1249,236,8
2015-08-20,724000,7.99,1.6,20.03,1516,1269,247,8
2015-08-23,726000,1.6,7.99,499.37,1524,1276,248,8
2015-11-25,744000,7.99,1.59,19.9,1588,1322,266,8
2015-12-01,747000,1.59,7.99,502.52,1594,1327,267,8
2015-12-22,737000,7.99,1.59,19.9,1609,1336,273,8
2016-01-04,741000,1.59,7.99,502.52,1622,1346,276,8
2016-02-04,773000,7.99,1.99,24.91,1649,1360,289,8
2016-02-13,743000,1.99,7.99,401.51,1651,1362,289,8
2016-02-20,762000,7.99,1.59,19.9,1658,1366,292,8
2016-02-22,764000,1.59,7.99,502.52,1679,1382,297,8
2016-06-23,733000,7.99,2.39,29.91,1759,1438,321,8
2016-07-04,739000,2.39,7.99,334.31,1767,1443,324,8
2016-11-23,774000,7.99,1.99,24.91,1813,1474,339,8
2016-11-29,766000,1.99,7.99,401.51,1849,1510,339,8
2016-12-22,785000,7.99,1.99,24.91,1861,1518,343,8
2017-01-02,785000,1.99,7.99,401.51,1872,1527,345,8
2017-06-22,856000,7.99,1.59,19.9,1964,1584,380,8
2017-07-05,860000,1.59,7.99,502.52,1983,1597,386,8
2017-11-22,873000,7.99,1.59,19.9,2049,1638,411,6
2017-11-28,867000,1.59,7.99,502.52,2066,1653,413,8
2017-12-22,884000,7.99,1.59,19.9,2078,1659,419,6
2018-01-04,882000,1.59,7.99,502.52,2084,1662,422,6
2018-06-21,794000,7.99,2.39,29.91,2138,1701,437,6
2018-07-05,787000,2.39,7.99,334.31,2144,1704,440,6
2018-11-21,808000,7.99,2.79,34.92,2174,1716,458,6
2018-11-27,810000,2.79,7.99,286.38,2178,1720,458,6
2018-12-20,810000,7.99,2.79,34.92,2182,1722,460,6
2019-01-03,812000,2.79,7.99,286.38,2187,1726,461,6
2019-02-04,817000,7.99,1.99,24.91,2193,1730,463,6
2019-02-11,818000,1.99,7.99,401.51,2197,1732,465,6
2019-06-25,831000,7.99,1.99,24.91,2221,1745,476,6
2019-07-09,837000,1.99,7.99,401.51,2231,1754,477,6
2019-11-26,844000,7.99,3.99,49.94,2258,1770,488,6
2019-12-03,415000,3.99,7.99,200.25,2259,1771,488,6
2019-12-23,841000,7.99,1.99,24.91,2261,1771,490,6
2020-01-02,843000,1.99,7.99,401.51,2265,1775,490,6
2020-01-23,781000,7.99,3.99,49.94,2272,1778,494,6
2020-01-27,375000,3.99,7.99,200.25,2274,1780,494,6
2020-06-25,762000,7.99,3.99,49.94,2315,1812,503,6
2020-07-09,763000,3.99,7.99,200.25,2320,1815,505,6
2020-10-29,761000,7.99,3.99,49.94,2335,1823,512,6
2020-11-02,761000,3.99,7.99,200.25,2336,1823,513,6
2020-11-25,762000,7.99,3.99,49.94,2339,1824,515,6
2020-12-01,761000,3.99,7.99,200.25,2340,1824,516,6
2020-12-22,761000,7.99,3.19,39.92,2347,1826,521,6
2021-01-05,761000,3.19,7.99,250.47,2353,1831,522,6
2021-02-12,763000,7.99,2.39,29.91,2363,1837,526,6
2021-02-15,763000,2.39,7.99,334.31,2363,1837,526,6
2021-03-24,744000,7.99,3.99,49.94,2370,1840,530,6
2021-04-07,745000,3.99,7.99,200.25,2375,1845,530,6
2021-06-01,747000,7.99,1.99,24.91,2385,1854,531,6
2021-06-03,748000,1.99,7.99,401.51,2385,1854,531,6
2021-06-24,749000,7.99,3.99,49.94,2389,1858,531,6
2021-07-08,750000,3.99,7.99,200.25,2393,1862,531,6
2021-10-28,757000,7.99,1.99,24.91,2416,1878,538,6
2021-11-01,756000,1.99,7.99,401.51,2416,1878,538,6
2021-11-24,756000,7.99,1.59,19.9,2418,1879,539,6
2021-11-30,756000,1.59,7.99,502.52,2421,1881,540,6
2021-12-22,759000,7.99,1.59,19.9,2428,1886,542,6
2022-01-05,758000,1.59,7.99,502.52,2431,1887,544,6
2022-06-23,755000,7.99,1.59,19.9,2463,1906,557,6
2022-07-07,753000,1.59,7.99,502.52,2464,1907,557,6
2022-09-07,750000,7.99,1.99,24.91,2479,1919,560,6
2022-09-14,750000,1.99,7.99,401.51,2481,1921,560,6
