date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2017-02-28,22000,0.0,15.99,,61,55,6,8
2017-03-06,30000,15.99,19.99,125.02,635,476,159,6
2017-06-22,37000,19.99,9.99,49.97,999,746,253,6
2017-07-05,46000,9.99,19.99,200.1,1064,792,272,6
2017-11-16,49000,19.99,9.99,49.97,1141,853,288,6
2017-11-20,51000,9.99,19.99,200.1,1196,899,297,6
2017-11-22,53000,19.99,9.99,49.97,1214,910,304,6
2017-11-28,52000,9.99,19.99,200.1,1276,961,315,6
2017-12-21,59000,19.99,6.99,34.97,1307,985,322,6
2018-01-03,58000,6.99,19.99,285.98,1326,998,328,6
2018-05-01,60000,19.99,9.99,49.97,1368,1035,333,6
2018-05-08,60000,9.99,19.99,200.1,1391,1054,337,6
2018-06-21,58000,19.99,4.99,24.96,1408,1063,345,6
2018-07-05,62000,4.99,19.99,400.6,1433,1081,352,6
2018-10-29,60000,19.99,4.99,24.96,1479,1111,368,6
2018-11-01,60000,4.99,19.99,400.6,1485,1115,370,6
2018-11-12,59000,19.99,2.99,14.96,1503,1128,375,6
2018-11-19,62000,2.99,19.99,668.56,1541,1152,389,6
2018-12-20,62000,19.99,4.99,24.96,1615,1218,397,6
2019-01-03,62000,4.99,19.99,400.6,1624,1225,399,6
2019-02-04,62000,19.99,7.99,39.97,1637,1236,401,6
2019-02-11,61000,7.99,19.99,250.19,1639,1237,402,6
2019-06-25,68000,19.99,4.99,24.96,1678,1261,417,6
2019-07-09,69000,4.99,19.99,400.6,1718,1298,420,6
2019-11-20,72000,19.99,11.99,59.98,1778,1335,443,6
2019-11-25,72000,11.99,19.99,166.72,1782,1336,446,6
2019-11-26,72000,19.99,11.99,59.98,1782,1336,446,6
2019-12-03,73000,11.99,19.99,166.72,1791,1345,446,6
2019-12-19,73000,19.99,9.99,49.97,1801,1355,446,6
2020-01-02,74000,9.99,19.99,200.1,1815,1364,451,6
2020-01-23,69000,19.99,6.79,33.97,1834,1379,455,6
2020-01-27,67000,6.79,19.99,294.4,1839,1384,455,6
2020-06-25,70000,19.99,2.99,14.96,1939,1459,480,6
2020-07-09,70000,2.99,19.99,668.56,1968,1484,484,6
2020-09-16,72000,19.99,3.99,19.96,2001,1504,497,6
2020-09-22,76000,3.99,19.99,501.0,2017,1516,501,6
2020-10-29,76000,19.99,3.99,19.96,2046,1542,504,6
2020-11-02,76000,3.99,19.99,501.0,2048,1544,504,6
2020-11-12,99000,19.99,7.99,39.97,2054,1548,506,6
2020-11-16,63000,7.99,19.99,250.19,2057,1551,506,6
2020-11-25,77000,19.99,4.99,24.96,2069,1561,508,6
2020-12-01,78000,4.99,19.99,400.6,2077,1568,509,6
2020-12-22,102000,19.99,2.99,14.96,2092,1577,515,6
2021-01-05,107000,2.99,19.99,668.56,2103,1586,517,6
2021-02-12,73000,19.99,3.99,19.96,2119,1597,522,6
2021-02-14,73000,3.99,19.99,501.0,2122,1600,522,6
