date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-04-01,3206000,0.0,39.99,,6593,6003,590,8
2015-04-30,3212000,39.99,19.99,49.99,6752,6148,604,8
2015-05-04,3231000,19.99,39.99,200.05,6795,6185,610,8
2015-06-11,3244000,39.99,29.99,74.99,7035,6392,643,8
2015-06-14,3253000,29.99,19.59,65.32,7055,6408,647,8
2015-06-16,3250000,19.59,29.99,153.09,7075,6423,652,8
2015-06-20,3260000,29.99,19.59,65.32,7110,6455,655,8
2015-06-22,3257000,19.59,39.99,204.13,7130,6471,659,8
2015-07-22,3268000,39.99,79.99,200.03,7339,6652,687,8
2015-07-23,3273000,79.99,39.99,49.99,7342,6655,687,8
2015-09-17,3342000,39.99,19.99,49.99,7662,6918,744,8
2015-09-21,3341000,19.99,39.99,200.05,7703,6954,749,8
2015-11-25,3371000,39.99,19.99,49.99,8123,7315,808,8
2015-12-02,3385000,19.99,39.99,200.05,8180,7364,816,8
2015-12-22,3399000,39.99,19.99,49.99,8320,7488,832,8
2016-01-04,3414000,19.99,39.99,200.05,8509,7649,860,8
2016-02-05,3572000,39.99,19.99,49.99,8735,7839,896,8
2016-02-12,3437000,19.99,39.99,200.05,8795,7896,899,8
2016-04-14,3451000,39.99,19.99,49.99,9207,8245,962,8
2016-04-18,3476000,19.99,39.99,200.05,9255,8282,973,8
2016-06-23,3475000,39.99,19.99,49.99,9681,8661,1020,8
2016-07-04,3463000,19.99,39.99,200.05,9802,8762,1040,8
2016-09-01,3449000,39.99,19.99,49.99,10156,9071,1085,8
2016-09-05,3465000,19.99,39.99,200.05,10181,9093,1088,8
2016-09-15,3529000,39.99,19.99,49.99,10237,9144,1093,8
2016-09-19,3542000,19.99,39.99,200.05,10267,9168,1099,8
2016-10-28,3641000,39.99,19.99,49.99,10430,9313,1117,8
2016-11-01,3642000,19.99,39.99,200.05,10453,9331,1122,8
2016-11-23,3655000,39.99,19.99,49.99,10585,9448,1137,8
2016-11-29,3618000,19.99,39.99,200.05,10948,9799,1149,8
2016-12-22,3687000,39.99,19.99,49.99,11044,9888,1156,8
2017-01-02,3722000,19.99,39.99,200.05,11143,9978,1165,8
2017-05-18,3686000,39.99,19.99,49.99,11804,10556,1248,8
2017-05-22,3680000,19.99,39.99,200.05,11840,10587,1253,8
2017-06-22,3674000,39.99,19.99,49.99,12015,10747,1268,8
2017-07-05,3703000,19.99,39.99,200.05,12153,10868,1285,8
2017-10-05,3824000,39.99,19.99,49.99,12554,11224,1330,8
2017-10-09,3810000,19.99,39.99,200.05,12590,11254,1336,8
2017-11-09,3799000,39.99,25.99,64.99,12714,11358,1356,8
2017-11-13,3765000,25.99,39.99,153.87,12739,11379,1360,8
2017-11-22,3773000,39.99,25.99,64.99,12774,11407,1367,8
2017-11-28,3771000,25.99,39.99,153.87,12913,11543,1370,8
2017-12-21,3802000,39.99,25.99,64.99,13029,11646,1383,8
2018-01-04,3801000,25.99,39.99,153.87,13134,11735,1399,8
2018-02-15,3710000,39.99,19.59,48.99,13326,11897,1429,8
2018-02-19,3691000,19.59,39.99,204.13,13354,11922,1432,8
2018-03-15,3683000,39.99,19.59,48.99,13443,12001,1442,8
2018-03-19,3675000,19.59,39.99,204.13,13474,12028,1446,8
2018-06-20,3606000,39.99,19.59,48.99,13792,12294,1498,8
2018-07-05,3626000,19.59,39.99,204.13,13866,12356,1510,8
2018-09-06,3629000,39.99,19.59,48.99,14082,12541,1541,8
2018-09-11,3636000,19.59,39.99,204.13,14098,12556,1542,8
2018-10-29,3673000,39.99,19.59,48.99,14256,12682,1574,8
2018-11-01,3695000,19.59,39.99,204.13,14271,12693,1578,8
2018-11-06,3678000,39.99,19.59,48.99,14299,12719,1580,8
2018-11-09,3690000,19.59,39.99,204.13,14309,12728,1581,8
2018-11-21,3687000,39.99,19.59,48.99,14361,12773,1588,8
