name,avg_price
Education,11.99
Massively Multiplayer,21.023888888888894
Violent,8.347142857142858
RPG,18.18488593155877
Web Publishing,9.99
Simulation,17.112074592074435
Sexual Content,8.74
Sports,18.70147727272728
Early Access,15.73285714285715
Game Development,11.99
Indie,12.763700374531691
Adventure,15.3946153846152
Video Production,14.99
Racing,18.04337662337663
Action,16.8886556169429
Software Training,11.99
Free to Play,18.323333333333334
Casual,9.829649999999896
Gore,9.406666666666668
Nudity,8.323333333333332
Strategy,17.512910602910427
